sbd_id,model,started,ended,stop_reason,code_revision,pr1215,archive,used_enablement,en_engaged,en_mode,en_origin,en_attempts,en_succeeded,en_stall_streak,en_kept_patches,en_specialist_runs,bd_setting_script,arc_reports_enablement_files,arc_round_dirs,arc_setting_sh,arc_patch_files,arc_current_setting_sh,arc_legacy_enablement_files,cost_usd_enablement,cost_usd_total
100184,Qwen3-0.6B,2026-08-18 00:45:46,2026-08-18 03:21:44,conc_sweep_done,40d88b5,PRE,nested,False,False,,,0,False,0,0,0,,0,0,0,0,1,0,0.0,15.18
100186,Qwen3-0.6B,2026-08-18 02:42:16,2026-08-18 05:26:25,conc_sweep_done,2bfba7c,PRE,nested,False,False,,,0,False,0,0,0,,0,0,0,0,1,0,0.0,21.49
100188,MiniMax-M3-MXFP4,2026-08-18 02:32:05,2026-08-18 02:33:19,signal,0630608,PRE,flat,False,False,,,0,False,0,0,0,,0,0,0,0,0,0,0.0,115.71
100189,Qwen3-0.6B,2026-08-18 03:36:05,2026-08-18 06:40:05,conc_sweep_done,465f229,PRE,nested,False,False,,,0,False,0,0,0,,0,0,0,0,1,0,0.0,22.29
100204,Qwen3-0.6B,2026-08-18 03:36:51,2026-08-18 07:02:38,conc_sweep_done,c5d7362,PRE,nested,False,False,,,0,False,0,0,0,,0,0,0,0,1,0,0.0,22.82
101730,MiniMax-M3-MXFP4,2026-08-18 00:06:58,2026-08-18 00:35:09,baseline_failed,0630608,PRE,flat,True,True,all,boot,1,False,0,0,0,,0,0,0,0,0,0,0.0,5.0
101733,MiniMax-M3-MXFP4,2026-08-18 00:57:09,2026-08-18 01:56:45,enablement_stalled,0630608,PRE,flat,True,True,all,boot,6,False,5,0,4,,0,0,0,0,0,0,23.22,29.15
101745,Qwen3-0.6B,2026-08-18 05:37:57,2026-08-18 08:19:52,conc_sweep_done,98c2ec3,PRE,nested,False,False,,,0,False,0,0,0,,0,0,0,0,1,0,0.0,22.65
101749,Qwen3-0.6B,2026-08-18 06:32:47,2026-08-18 09:21:50,conc_sweep_done,26b5241,PRE,nested,False,False,,,0,False,0,0,0,,0,0,0,0,1,0,0.0,22.85
101753,Qwen3-0.6B,2026-08-18 06:51:02,2026-08-18 09:35:54,conc_sweep_done,f2c241c,PRE,nested,False,False,,,0,False,0,0,0,,0,0,0,0,1,0,0.0,19.84
