class,phase,gain_pct,tput_before,tput_after,name,action,model,framework,gpu_type,tp,session_cum_gain_pct,ts,session_dir
tuned_table_introduced,EXPLORE,31.73614,4969.149804099804,6378.10895689589,aiter-tuned-gemm-csv-merged,explore,Qwen3-14B-FP8,sglang,mi355x,1,44.851993075521705,2026-08-14T00:32:23.350923+00:00,/shared_nfs/hyperloom-claw/Qwen3-14B-FP8/20260813T111437Z
gemm_tuning_action,KERNEL_AGENT,29.834943,5508.912170495298,6575.470759574011,forge_a8w8_blockscale,gemm_tuning,Qwen3-14B-FP8,vllm,mi355x,1,83.93594293307387,2026-08-09T08:16:16.084570+00:00,/shared_nfs/hyperloom-k8s/safe-opt-claw-top-models-forge-qwen-qwen-9b319e56-a1/9b319e56-4131-4f4b-ae19-bb8f9eca7493/Qwen3-14B-FP8/20260809T021939Z
gemm_tuning_action,KERNEL_AGENT,27.661552,1287.5285936926434,1590.3783375872295,forge_vllm_moe_triton,gemm_tuning,DeepSeek-V4-Pro,vllm,mi355x,8,45.26125205698517,2026-08-07T15:25:29.598834+00:00,/shared_nfs/hyperloom-k8s/safe-opt-claw-top-models-forge-deepseek-e1f22b5a-a1/e1f22b5a-a62a-4de5-bfc3-a415e5397b45/DeepSeek-V4-Pro/20260807T082259Z
gemm_tuning_action,KERNEL_AGENT,24.514969,5758.888686261848,6638.704008719092,forge_a8w8_blockscale,gemm_tuning,Qwen3-14B-FP8,vllm,mi355x,1,84.97930181780107,2026-08-10T02:53:06.052463+00:00,/shared_nfs/hyperloom-k8s/safe-opt-claw-top-models-forge-qwen-qwen-5b653daa-a1/5b653daa-b12b-4a03-ae52-d0b350ebe6f3/Qwen3-14B-FP8/20260809T193648Z
gemm_tuning_action,KERNEL_AGENT,22.632928,4450.6882532234,5458.009323879549,forge_a8w8_blockscale_bpreshuffle,gemm_tuning,Qwen3-14B-FP8,sglang,mi355x,1,22.6329280629035,2026-08-13T12:14:29.171276+00:00,/shared_nfs/hyperloom-claw/Qwen3-14B-FP8/20260813T091312Z
gemm_tuning_action,KERNEL_AGENT,20.448091,17688.31246433783,19373.98235735242,forge_vllm_moe_triton,gemm_tuning,gpt-oss-120b,vllm,mi355x,2,135.01509058473593,2026-08-09T07:55:36.614721+00:00,/shared_nfs/hyperloom-codex/safe-opt-top-models-codex-openai-gpt-oss-4f47cffe-a1/4f47cffe-022a-438e-825d-3a06200f14a0/gpt-oss-120b/20260809T051742Z
gemm_tuning_action,KERNEL_AGENT,18.357554,5566.483462807296,6223.4646857002235,forge_a8w8_blockscale,gemm_tuning,Qwen3-14B-FP8,vllm,mi355x,1,73.89780412415531,2026-08-08T12:21:44.435938+00:00,/shared_nfs/hyperloom-k8s/safe-opt-claw-top-models-forge-qwen-qwen-ab96f2e1-a1/ab96f2e1-7b6a-42c1-b374-08882222a5d1/Qwen3-14B-FP8/20260808T045608Z
gemm_tuning_action,KERNEL_AGENT,17.327718,16218.0822123737,17637.77555905969,forge_vllm_moe_triton,gemm_tuning,gpt-oss-120b,vllm,mi355x,2,115.27353576908264,2026-08-08T05:35:43.371733+00:00,/shared_nfs/hyperloom-k8s/safe-opt-claw-top-models-forge-openai-gp-a0e746e4-a1/a0e746e4-ffdc-4dee-8bdd-8bcd086a8698/gpt-oss-120b/20260807T222025Z
gemm_tuning_action,KERNEL_AGENT,13.009367,2501.7160523694847,2740.8170040622304,forge_vllm_moe_triton,gemm_tuning,DeepSeek-V4-Pro,vllm,mi355x,8,49.12652111357041,2026-08-10T15:19:15.594144+00:00,/shared_nfs/hyperloom-claw/DeepSeek-V4-Pro/20260810T121628Z
gemm_tuning_action,KERNEL_AGENT,10.120175,7815.319088041243,8606.243017629973,forge_vllm_dense_tunableop,gemm_tuning,Llama-3.1-8B-Instruct,vllm,mi355x,1,26.989566490994974,2026-08-10T15:44:40.823128+00:00,/shared_nfs/hyperloom-claw/Llama-3.1-8B-Instruct/20260810T133158Z
tuned_table_introduced,KERNEL_AGENT,9.827667,1501.4581723469078,1649.0164881381404,geak_e2e,geak_e2e,Qwen3-14B-FP8,sglang,mi355x,1,51.719691079056005,2026-08-16T14:27:44.797881+00:00,/shared_nfs/hyperloom-claw/Qwen3-14B-FP8/20260816T050457Z
gemm_tuning_action,KERNEL_AGENT,9.47796,7753.168457065753,8483.53826720404,forge_vllm_dense_tunableop,gemm_tuning,Llama-3.1-8B-Instruct,vllm,mi355x,1,42.7984335965339,2026-08-08T02:18:43.343732+00:00,/shared_nfs/hyperloom-k8s/safe-opt-claw-top-models-forge-meta-llam-d0520e4c-a1/d0520e4c-f44b-457c-947d-92fcecdab092/Llama-3.1-8B-Instruct/20260807T235139Z
gemm_tuning_action,KERNEL_AGENT,8.999985,1550.5970621637762,1683.335509016861,forge_vllm_moe_triton,gemm_tuning,DeepSeek-V4-Pro,vllm,mi355x,8,53.21202939390697,2026-08-09T21:19:49.311837+00:00,/shared_nfs/hyperloom-k8s/safe-opt-claw-top-models-forge-deepseek-c02b6f12-a1/c02b6f12-3d02-4e34-b318-4d119af6050b/DeepSeek-V4-Pro/20260809T131951Z
gemm_tuning_action,KERNEL_AGENT,8.033666,4780.655405880449,5164.717293977924,forge_vllm_moe_triton,gemm_tuning,gemma-4-26B-A4B-it,vllm,mi355x,2,8.03366600372534,2026-08-10T22:00:03.540765+00:00,/shared_nfs/hyperloom-claw/gemma-4-26B-A4B-it/20260810T172435Z
runtime_autotune,EXPLORE,7.865108,0.130208,0.140449,xdit-nucleus-inductor-ck-gemm-backend,explore,Nucleus-Image,xdit,mi355x,1,17.791533546325894,2026-08-16T01:43:22.697106+00:00,/shared_nfs/hyperloom-xdit/safe-opt-top-models-xdit-nucleus-image-6dcb7a39-a1/6dcb7a39-da57-4f27-a579-9b75db1384fe/Nucleus-Image/20260815T220930Z
gemm_tuning_action,KERNEL_AGENT,7.851414,7821.395409789386,8435.485567187263,forge_vllm_dense_tunableop,gemm_tuning,Llama-3.1-8B-Instruct,vllm,mi355x,1,7.851414296600731,2026-08-10T22:14:23.447101+00:00,/shared_nfs/hyperloom-claw/Llama-3.1-8B-Instruct/20260810T201422Z
gemm_tuning_action,KERNEL_AGENT,7.799225,4894.108562811203,5262.7646947094745,forge_vllm_moe_triton,gemm_tuning,gemma-4-26B-A4B-it,vllm,mi355x,2,11.338141084037705,2026-08-10T07:08:36.797878+00:00,/shared_nfs/hyperloom-k8s/safe-opt-claw-top-models-forge-google-ge-741ab0c6-a1/741ab0c6-5182-4d03-a60e-174aff3b561d/gemma-4-26B-A4B-it/20260810T000244Z
gemm_tuning_action,KERNEL_AGENT,7.490365,4726.9446478236505,5081.010076794862,forge_vllm_moe_triton,gemm_tuning,gemma-4-26B-A4B-it,vllm,mi355x,2,19.26017493193013,2026-08-08T06:45:56.579096+00:00,/shared_nfs/hyperloom-k8s/safe-opt-claw-top-models-forge-google-ge-7e4903e3-a1/7e4903e3-7610-4219-b7f5-7a92e7a6b0b3/gemma-4-26B-A4B-it/20260808T044023Z
runtime_autotune,EXPLORE,7.062292,0.131926,0.141243,inductor-ck-gemm-backend-search,explore,Nucleus-Image,xdit,mi355x,1,12.13028515986236,2026-08-14T19:32:37.297294+00:00,/shared_nfs/hyperloom-xdit/safe-opt-top-models-xdit-nucleus-image-1690c844-a1/1690c844-b4f9-4fea-8966-c44563b4a32e/Nucleus-Image/20260814T154848Z
gemm_tuning_action,KERNEL_AGENT,6.817527,9917.771202618294,10456.813711978295,forge_vllm_moe_triton,gemm_tuning,gpt-oss-120b,vllm,mi355x,2,32.25152686996079,2026-08-12T05:24:16.235300+00:00,/shared_nfs/hyperloom-claw/gpt-oss-120b/20260812T030012Z
gemm_tuning_action,KERNEL_AGENT,6.365012,1533.9379269061546,1631.5732575705435,forge_a8w8_blockscale_bpreshuffle,gemm_tuning,Qwen3-14B-FP8,sglang,mi355x,1,16.37485926386408,2026-08-15T19:51:39.939142+00:00,/shared_nfs/hyperloom-claw/Qwen3-14B-FP8/20260815T123105Z
runtime_autotune,EXPLORE,6.027185,0.469484,0.490196,tc-inductor-gemm-autotune,explore,FLUX.1-dev,xdit,mi355x,1,73.21406226810966,2026-08-13T16:05:42.242009+00:00,/shared_nfs/hyperloom-xdit/safe-opt-top-models-xdit-flux-1-dev-0cd4db72-a1/0cd4db72-d06c-4b9c-8f2f-25c41d1cf323/FLUX.1-dev/20260813T113756Z
