file,phase,full_path,date,total_tok_s,output_tok_s,mean_tpot_ms,mean_ttft_ms,p99_tpot_ms,p99_ttft_ms,num_prompts,completed,max_concurrency,duration_s
dp2_tp4_ds16_fusedmoe_isl1024_osl1024_conc128,results_v2,/shared_nfs/nehaprakriya/agentic-rc/yanyuan_runs/glm5_optimization/results_v2/dp2_tp4_ds16_fusedmoe_isl1024_osl1024_conc128.json,20260326-073049,2794.4137294123034,1401.9893471349528,84.88780233070602,1635.1014236092851,92.21736587062554,6789.483388591907,384,384,128,254.15671005501645
dp2_tp4_ds16_aiter_fp8_isl1024_osl1024_conc128,results_v2,/shared_nfs/nehaprakriya/agentic-rc/yanyuan_runs/glm5_optimization/results_v2/dp2_tp4_ds16_aiter_fp8_isl1024_osl1024_conc128.json,20260326-084209,2787.429350135724,1398.485204123111,85.32514634772588,1644.2791484375146,91.87742457290771,6785.152728561661,384,384,128,254.79354300600244
replicate_dp2_tp4_ds16_fusedmoe_conc128_20260326_151401,results_replication,/shared_nfs/nehaprakriya/agentic-rc/yanyuan_runs/glm5_optimization/results_replication/replicate_dp2_tp4_ds16_fusedmoe_conc128_20260326_151401.json,20260326-153708,2768.8790238321826,1389.1782931278976,85.73501840872106,1706.8058219626134,93.30775182556776,7013.451887439587,384,384,128,256.5005527099711
dp2_tp4_ds8_isl1024_osl1024_conc128,results_v2,/shared_nfs/nehaprakriya/agentic-rc/yanyuan_runs/glm5_optimization/results_v2/dp2_tp4_ds8_isl1024_osl1024_conc128.json,20260326-052953,2768.512434686739,1388.9943711584065,85.74294903600993,1702.7216570392436,93.8929432172321,6988.901526128175,384,384,128,256.5345169130014
dp2_tp4_ds16_aiter_decode_isl1024_osl1024_conc96,results_v2,/shared_nfs/nehaprakriya/agentic-rc/yanyuan_runs/glm5_optimization/results_v2/dp2_tp4_ds16_aiter_decode_isl1024_osl1024_conc96.json,20260326-091552,2232.9720177510785,1116.5175792419714,79.39371303743924,1342.4259487619565,85.00298386222798,5081.309193189954,288,288,96,237.5645533320494
sweep_isl8192_osl1024_conc16,results,/shared_nfs/nehaprakriya/agentic-rc/yanyuan_runs/glm5_optimization/results/sweep_isl8192_osl1024_conc16.json,20260326-035834,1683.7667778601037,188.62164807830905,76.1103479748101,4190.103428234579,91.61459248486685,15975.244418391376,48,48,16,234.95712422998622
tp8_tilelang_ds8_isl1024_osl1024_conc64,results_v2,/shared_nfs/nehaprakriya/agentic-rc/yanyuan_runs/glm5_optimization/results_v2/tp8_tilelang_ds8_isl1024_osl1024_conc64.json,20260326-055435,1680.886364682241,840.067956926703,70.52270371454306,1513.035686432886,75.54839458928565,5922.472818490933,192,192,64,210.54010992997792
tuned_nsa_aiter_ds16_tp4_isl1024_osl1024_conc64,results_v3,/shared_nfs/nehaprakriya/agentic-rc/yanyuan_runs/glm5_optimization/results_v3/tuned_nsa_aiter_ds16_tp4_isl1024_osl1024_conc64.json,20260326-185340,1446.3787858292446,722.866516787645,82.05342107076318,1786.3294923872672,88.14606673650718,7083.366151073133,192,192,64,244.67587845399976
tuned_mixedchunk_ds16_tp4_isl1024_osl1024_conc64,results_v3,/shared_nfs/nehaprakriya/agentic-rc/yanyuan_runs/glm5_optimization/results_v3/tuned_mixedchunk_ds16_tp4_isl1024_osl1024_conc64.json,20260326-183611,1443.6367296371375,721.4961008026731,82.29741903592546,1772.8405758113392,86.84599098208234,6948.010023100651,192,192,64,245.14061795099406
tuned_fusedmoe_ds64_tp4_isl1024_osl1024_conc64,results_v3,/shared_nfs/nehaprakriya/agentic-rc/yanyuan_runs/glm5_optimization/results_v3/tuned_fusedmoe_ds64_tp4_isl1024_osl1024_conc64.json,20260326-180106,1413.6083969176134,706.4886376881904,84.16798653286787,1750.4162554065867,90.41208409795071,6942.589757916285,192,192,64,250.3479752749554
