sbd_id,session_dir,dir_exists,enablement_dir_on_disk,setting_sh_on_disk,model,session_id,framework,gpu_type,tp,host,started_utc,ended_utc,stop_reason,en_attempts,en_succeeded,en_origin,en_round_dirs,en_setting_script,baseline_tok_s_per_gpu,final_tok_s_per_gpu,gain_pct,optimizations_adopted,optimization_stack_len,action_path,cost_usd_enablement,cost_usd_total
101821,/shared_nfs/hyperloom-claw/MiniMax-M3-MXFP4/20260818T071552Z,True,True,True,MiniMax-M3-MXFP4,MiniMax-M3-MXFP4_20260818T071552Z_81f89069,sglang,mi355x,8,claw-1787036989005-sandbox-t4zbh,2026-08-18 07:15:53,2026-08-18 20:06:30,conc_sweep_done,4,True,boot,4,reports/enablement/enablement_setting.sh,2538.1,2810.8,10.74,1,1,integrate_patch:cc0ddbc3d97e4bd38bf1409553017e18 | explore:m3-custom-ar-only,31.48,50.11
101858,/shared_nfs/hyperloom-claw/DeepSeek-V4-Pro/20260818T160616Z,True,True,True,DeepSeek-V4-Pro,DeepSeek-V4-Pro_20260818T160616Z_b05cf28c,sglang,mi355x,8,claw-1787068690238-sandbox-2xjfq,2026-08-18 16:06:17,2026-08-19 08:16:12,conc_sweep_done,6,True,boot,5,reports/enablement/enablement_setting.sh,608.8,1808.7,197.08,1,1,integrate_patch:40efbb7db5b449c79b0be3902944764f | explore:ref-fixedseq-core-stack,40.51,74.03
101901,/shared_nfs/hyperloom-claw/GLM-5.2-MXFP4/20260819T161026Z-5c3d85e4,True,True,True,GLM-5.2-MXFP4,GLM-5.2-MXFP4_20260819T161026Z_92293650,sglang,mi355x,8,claw-1787151186701-sandbox-q4f5x,2026-08-19 16:10:27,2026-08-20 02:55:37,conc_sweep_done,3,True,boot,1,reports/enablement/enablement_setting.sh,1162.8,1588.6,36.62,1,1,integrate_patch:bba5d6eaa91f4f6e9744007e0ec8cdd2 | integrate_patch:5ba984b977d84732ab11534c022c91d9,15.04,62.18
101903,/shared_nfs/hyperloom-claw/DeepSeek-V4-Pro/20260819T153952Z-aab5fce6,True,True,True,DeepSeek-V4-Pro,DeepSeek-V4-Pro_20260819T153952Z_2adc923b,sglang,mi355x,8,claw-1787149580028-sandbox-bmj6k,2026-08-19 15:39:53,2026-08-20 03:39:54,time_exhausted,1,True,boot,1,reports/enablement/enablement_setting.sh,608.4,1747.0,187.14,1,1,integrate_patch:6142337e42e845b58e3df9579d50d8c7 | explore:ref-replay-dpattn-tbo-nomtp,6.49,30.79
101904,/shared_nfs/hyperloom-claw/DeepSeek-V4-Pro/20260819T161105Z-c40dcc45,True,True,True,DeepSeek-V4-Pro,DeepSeek-V4-Pro_20260819T161105Z_39890682,vllm,mi355x,8,claw-1787151267740-sandbox-8bnhk,2026-08-19 16:11:06,2026-08-20 03:53:01,conc_sweep_failed,3,True,boot,1,reports/enablement/enablement_setting.sh,1018.5,1043.0,2.4,0,1,integrate_patch:9d37a60bb693492abc19c99d6e60f6fb | replay_warm_recipe:warm_replay,21.43,76.56
101905,/shared_nfs/hyperloom-claw/MiniMax-M3-MXFP4/20260819T161440Z-9b94a1a1,True,True,True,MiniMax-M3-MXFP4,MiniMax-M3-MXFP4_20260819T161440Z_6c13b9b9,sglang,mi355x,8,claw-1787150651905-sandbox-fbbt4,2026-08-19 16:14:41,2026-08-20 03:44:48,conc_sweep_done,3,True,boot,1,reports/enablement/enablement_setting.sh,2524.8,2815.6,11.52,1,1,integrate_patch:f1b1feb1df834da09c44891cf493fb8b | explore:custom-ar-alone,21.62,54.98
101907,/shared_nfs/hyperloom-claw/GLM-5.2-MXFP4/20260819T161245Z-ef28667e,True,True,True,GLM-5.2-MXFP4,GLM-5.2-MXFP4_20260819T161245Z_9a10745c,sglang,mi355x,8,claw-1787151184995-sandbox-hvv9k,2026-08-19 16:12:46,2026-08-20 04:12:46,time_exhausted,3,True,boot,3,reports/enablement/enablement_setting.sh,1152.3,1427.6,23.89,1,1,integrate_patch:30b2295d6dfd4d46ae5da3e351a1437a | explore:kv-cache-fp8-e4m3,15.22,73.37
101909,/shared_nfs/hyperloom-claw/gpt-oss-120b/20260819T161341Z-e4128174,True,True,True,gpt-oss-120b,gpt-oss-120b_20260819T161341Z_f6fa6a07,sglang,mi355x,2,claw-1787151185792-sandbox-9hr6x,2026-08-19 16:13:42,2026-08-20 04:13:42,time_exhausted,3,True,boot,3,reports/enablement/enablement_setting.sh,1527.3,4490.5,194.01,2,2,integrate_patch:10b3bfc051974933b9eaae91d0f9c3ea | explore:kv-cache-dtype-fp8e4m3 | explore:page-size-16-on-fp8kv-stack,27.96,79.58
101914,/shared_nfs/hyperloom-claw/MiniMax-M3-MXFP4/20260819T182026Z-b4f51b80,True,True,True,MiniMax-M3-MXFP4,MiniMax-M3-MXFP4_20260819T182026Z_9d043b6a,vllm,mi355x,8,claw-1787163100081-sandbox-lpjzl,2026-08-19 18:20:27,2026-08-20 06:00:04,conc_sweep_done,1,True,boot,1,reports/enablement/enablement_setting.sh,3352.0,3973.7,18.55,1,1,integrate_patch:2e54f9bd925340efbf28395669e41007 | explore:attn-backend-triton,7.06,56.69
101955,/shared_nfs/hyperloom-claw/GLM-5.2-MXFP4/20260820T031323Z-62726df4,True,True,True,GLM-5.2-MXFP4,GLM-5.2-MXFP4_20260820T031323Z_d23d03b6,sglang,mi355x,8,claw-1787195199576-sandbox-xcjgt,2026-08-20 03:13:23,2026-08-20 14:51:09,conc_sweep_done,3,True,boot,1,reports/enablement/enablement_setting.sh,1154.4,1443.0,25.0,1,1,integrate_patch:cf3c37a73f904f8dbd39633b983be30c | explore:kv-cache-fp8-e4m3,13.91,52.07
