sbd_id,cost_usd,cost_usd_ledger,cost_usd_specialist,cost_usd_orchestration,cost_usd_critic,cost_usd_robustness,calls_total,calls_specialist,calls_orchestration,calls_critic,calls_robustness,variants_tested,explore_rounds,variants_per_round,explore_keeps,specialist_runs,specialist_runs_empty,specialist_proposals,research_lane_capacity,proposals_per_variant,trace_granularity,specialists_per_variant,specialist_calls_per_variant,tokens_per_variant,cost_usd_per_variant,cost_usd_explore_specialist,tokens_specialist,token_spend,model_name,source_session_id,langfuse_trace_id,archive_session_id,archive_status,file_count,total_bytes,archive_relative_root,absolute_manifest_url,absolute_file_url_template,archive_error
99475,85.29,85.43,71.72,11.99,1.55,0.17,130,10,68,29,23,8,7,1.14,1,10,0,30,8,3.75,collapsed,1.25,1.2,3574770,10.68,64.47,24800550,28570513,DeepSeek-V4-Flash-0731,DeepSeek-V4-Flash-0731_20260811T024430Z_0c792943,ff348882d436f94b938cd250fecebf8a,DeepSeek-V4-Flash-0731_20260811T024430Z_0c792943,ready,1559,75583408,DeepSeek-V4-Flash-0731/20260811T024430Z/,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/DeepSeek-V4-Flash-0731_20260811T024430Z_0c792943/files?cluster=crusoe&claw_session_id=edc37d27-0aa9-49cb-8c8c-196f3f14c114,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/DeepSeek-V4-Flash-0731_20260811T024430Z_0c792943/files/{relative_path}?cluster=crusoe&claw_session_id=edc37d27-0aa9-49cb-8c8c-196f3f14c114,
99477,109.97,110.11,91.49,16.76,1.56,0.29,190,24,97,30,39,14,9,1.56,2,26,1,56,2,4.00,collapsed,1.86,1.7,2598546,7.87,85.47,30939147,36352485,Qwen3-8B,Qwen3-8B_20260811T021852Z_8d740c4e,383ae4b4758f466df8a526785fdf0efe,Qwen3-8B_20260811T021852Z_8d740c4e,ready,2147,69252256,Qwen3-8B/20260811T021852Z/,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/Qwen3-8B_20260811T021852Z_8d740c4e/files?cluster=crusoe&claw_session_id=8eabf4fd-8f1a-4431-bd43-6fd8df631f0e,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/Qwen3-8B_20260811T021852Z_8d740c4e/files/{relative_path}?cluster=crusoe&claw_session_id=8eabf4fd-8f1a-4431-bd43-6fd8df631f0e,
99478,187.86,188.93,154.89,23.14,10.90,0.00,1648,1571,38,39,0,27,5,5.40,3,15,0,74,2,2.74,per_turn,0.56,58.2,7489514,7.00,33.84,185719996,201763025,Qwen3-8B,Qwen3-8B_20260810T171049Z_4107a327,cc918c9c55b7794d4c1a6d34ec06eaf8,Qwen3-8B_20260810T171049Z_4107a327,ready,1096,80168927,Qwen3-8B/20260810T171049Z/,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/Qwen3-8B_20260810T171049Z_4107a327/files?cluster=crusoe&claw_session_id=f2afaaa8-9a3f-47df-82a8-68f8dae05619,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/Qwen3-8B_20260810T171049Z_4107a327/files/{relative_path}?cluster=crusoe&claw_session_id=f2afaaa8-9a3f-47df-82a8-68f8dae05619,
99479,185.41,185.41,150.01,21.83,13.54,0.02,1859,1766,46,46,1,24,5,4.80,1,15,4,45,2,1.88,per_turn,0.62,73.6,8785910,7.73,33.12,194079653,210861841,Qwen3-8B,Qwen3-8B_20260810T194704Z_47ab688c,ba63b003758a07abf86fa40d72960bc9,Qwen3-8B_20260810T194704Z_47ab688c,ready,1047,87557054,Qwen3-8B/20260810T194704Z/,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/Qwen3-8B_20260810T194704Z_47ab688c/files?cluster=crusoe&claw_session_id=c28c2eb6-1d5a-4517-ae59-7072d29ca6a2,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/Qwen3-8B_20260810T194704Z_47ab688c/files/{relative_path}?cluster=crusoe&claw_session_id=c28c2eb6-1d5a-4517-ae59-7072d29ca6a2,
99482,173.50,173.50,167.05,5.18,1.08,0.19,102,16,39,22,25,0,0,,0,16,4,37,16,,collapsed,,,,,0.00,58593208,60274519,GLM-5.2-MXFP4,GLM-5.2-MXFP4_20260811T031813Z_8f9e38ec,de6be2657176eacf448080873ef434bf,GLM-5.2-MXFP4_20260811T031813Z_8f9e38ec,ready,1030,30573557,GLM-5.2-MXFP4/20260811T031813Z/,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/GLM-5.2-MXFP4_20260811T031813Z_8f9e38ec/files?cluster=crusoe&claw_session_id=15fd2cfa-097d-4039-a9ff-4a9e5a1d3eee,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/GLM-5.2-MXFP4_20260811T031813Z_8f9e38ec/files/{relative_path}?cluster=crusoe&claw_session_id=15fd2cfa-097d-4039-a9ff-4a9e5a1d3eee,
99483,95.25,95.25,78.98,15.60,0.67,0.00,1131,1085,32,14,0,29,3,9.67,2,11,0,57,2,1.97,per_turn,0.38,37.4,3895014,3.28,33.15,103086620,112955408,Qwen-Image,Qwen-Image_20260811T032603Z_dacdf64a,ab5b43c7c6036b05fa0db13b602c2de9,Qwen-Image_20260811T032603Z_dacdf64a,ready,1133,25116499,Qwen-Image/20260811T032603Z/,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/Qwen-Image_20260811T032603Z_dacdf64a/files?cluster=crusoe&claw_session_id=e67b11de-7c8b-419b-8cc2-328429b1f04a,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/Qwen-Image_20260811T032603Z_dacdf64a/files/{relative_path}?cluster=crusoe&claw_session_id=e67b11de-7c8b-419b-8cc2-328429b1f04a,
99489,103.93,103.93,91.94,11.35,0.64,0.00,1307,1272,22,13,0,2,2,1.00,0,17,7,52,2,26.00,per_turn,8.50,636.0,62562821,51.97,15.65,116864339,125125642,HiDream-I1-Fast,HiDream-I1-Fast_20260811T032603Z_9498d29f,f47fe606962f2fd6b81c5b4afe05415a,HiDream-I1-Fast_20260811T032603Z_9498d29f,ready,829,22595513,HiDream-I1-Fast/20260811T032603Z/,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/HiDream-I1-Fast_20260811T032603Z_9498d29f/files?cluster=crusoe&claw_session_id=72f7f495-fdb7-4cce-85ff-6406a33f2fb6,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/HiDream-I1-Fast_20260811T032603Z_9498d29f/files/{relative_path}?cluster=crusoe&claw_session_id=72f7f495-fdb7-4cce-85ff-6406a33f2fb6,
99493,108.78,108.78,87.78,20.12,0.84,0.04,1424,1357,47,17,3,21,4,5.25,4,23,1,92,2,4.38,per_turn,1.10,64.6,5179004,5.18,53.12,93917828,108759086,Nucleus-Image,Nucleus-Image_20260811T032600Z_1fbf5190,de58f3959ce1ef7e16e61b38a14e3ef8,Nucleus-Image_20260811T032600Z_1fbf5190,ready,1421,29340788,Nucleus-Image/20260811T032600Z/,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/Nucleus-Image_20260811T032600Z_1fbf5190/files?cluster=crusoe&claw_session_id=777c9ce9-0d8f-44bb-9a8b-c9937d32ad77,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/Nucleus-Image_20260811T032600Z_1fbf5190/files/{relative_path}?cluster=crusoe&claw_session_id=777c9ce9-0d8f-44bb-9a8b-c9937d32ad77,
99494,77.74,77.74,67.10,9.08,1.38,0.18,115,11,52,27,25,11,6,1.83,2,11,1,21,16,1.91,collapsed,1.00,1.0,2394851,7.07,46.07,23314587,26343358,Mixtral-8x7B-Instruct-v0.1,Mixtral-8x7B-Instruct-v0.1_20260811T072959Z_72cb0f8e,5efc3066cd7bad414b929e8e3c02375f,Mixtral-8x7B-Instruct-v0.1_20260811T072959Z_72cb0f8e,ready,1253,36171688,Mixtral-8x7B-Instruct-v0.1/20260811T072959Z/,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/Mixtral-8x7B-Instruct-v0.1_20260811T072959Z_72cb0f8e/files?cluster=crusoe&claw_session_id=e4866dd4-8767-4917-ba87-49c8ba31610e,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/Mixtral-8x7B-Instruct-v0.1_20260811T072959Z_72cb0f8e/files/{relative_path}?cluster=crusoe&claw_session_id=e4866dd4-8767-4917-ba87-49c8ba31610e,
99495,17.12,17.12,9.89,6.07,1.16,0.00,139,81,30,28,0,0,0,,0,2,0,6,2,,per_turn,,,,,0.00,6429028,13422207,Qwen3-8B,Qwen3-8B_20260811T101455Z_f16e41eb,b09c33f3b227934be3362ab3279a4175,Qwen3-8B_20260811T101455Z_f16e41eb,ready,414,8463166,Qwen3-8B/20260811T101455Z/,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/Qwen3-8B_20260811T101455Z_f16e41eb/files?cluster=crusoe&claw_session_id=e3b8c733-60c6-431a-b004-609361e37850,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/Qwen3-8B_20260811T101455Z_f16e41eb/files/{relative_path}?cluster=crusoe&claw_session_id=e3b8c733-60c6-431a-b004-609361e37850,
