sbd_id,end_date,model_name,stop_reason,cost_usd,cost_usd_specialist,cost_usd_orchestration,cost_usd_critic,cost_usd_robustness,ledger_rows,real_requests,dup_pct,variants_tested,explore_rounds,explore_keeps,specialist_runs,specialist_runs_empty,specialist_proposals,cost_usd_enablement
99475,2026-08-11,DeepSeek-V4-Flash-0731,global_converged,85.43,71.72,11.99,1.55,0.17,130,130,0.0,8,7,1,10,0,30,0.0
99477,2026-08-11,Qwen3-8B,global_converged,110.1,91.49,16.76,1.56,0.29,190,189,0.5,14,9,2,26,1,56,0.0
99478,2026-08-11,Qwen3-8B,global_converged,100.15,66.1,23.14,10.9,0.0,1648,766,53.5,27,5,3,15,0,74,0.0
99479,2026-08-11,Qwen3-8B,global_converged,105.75,70.69,21.5,13.54,0.02,1859,894,51.9,24,5,1,15,4,45,0.0
99482,2026-08-11,GLM-5.2-MXFP4,enablement_stalled,173.28,167.05,4.96,1.08,0.19,101,100,1.0,0,0,0,16,4,37,167.05
99483,2026-08-11,Qwen-Image,global_converged,54.92,38.65,15.6,0.67,0.0,1131,574,49.2,29,3,2,11,0,57,0.0
99489,2026-08-11,HiDream-I1-Fast,conc_sweep_failed,52.69,40.7,11.35,0.64,0.0,1307,613,53.1,2,2,0,17,7,52,25.43
99493,2026-08-11,Nucleus-Image,global_converged,54.69,34.29,19.51,0.84,0.04,1424,612,57.0,21,4,4,23,1,92,0.0
99494,2026-08-11,Mixtral-8x7B-Instruct-v0.1,robustness_escalated,76.89,67.1,8.24,1.38,0.17,115,110,4.3,11,6,2,11,1,21,0.0
99495,2026-08-11,Qwen3-8B,robustness_escalated,9.13,3.12,5.9,0.12,0.0,121,58,52.1,0,0,0,2,0,6,0.0
99496,2026-08-11,Qwen3.5-397B-A17B-MXFP4,global_converged,26.24,21.9,3.45,0.79,0.1,61,60,1.6,10,3,0,9,0,29,0.0
99497,2026-08-11,gpt-oss-120b,robustness_escalated,3.36,0.0,2.74,0.55,0.07,53,51,3.8,19,6,2,5,5,0,0.0
99502,2026-08-11,ERNIE-Image-Turbo,global_converged,45.56,30.51,14.4,0.65,0.01,915,422,53.9,20,1,0,11,0,48,0.0
99505,2026-08-11,FLUX.1-schnell,global_converged,88.64,62.63,24.81,1.13,0.07,2095,979,53.3,28,3,1,26,0,111,17.01
99506,2026-08-11,DeepSeek-V4-Pro-MXFP4,enablement_stalled,28.73,24.21,4.18,0.29,0.04,594,248,58.2,0,0,0,5,1,7,24.21
99507,2026-08-11,Z-Image-Turbo,global_converged,75.45,55.76,18.88,0.74,0.08,1660,771,53.6,35,4,1,19,1,91,0.0
99509,2026-08-11,GLM-5.2-MXFP4,enablement_stalled,18.39,9.98,7.98,0.13,0.31,92,90,2.2,0,0,0,1,0,1,9.98
99510,2026-08-11,SD-3.5-large,global_converged,95.25,65.79,28.53,0.93,0.01,1788,910,49.1,3,1,1,16,3,41,18.2
99512,2026-08-11,Qwen3-14B-FP8,global_converged,44.49,27.1,16.13,0.99,0.27,986,467,52.6,20,4,0,10,2,35,0.0
99513,2026-08-11,MiniMax-M3-MXFP4,signal,17.95,9.43,8.15,0.18,0.18,364,210,42.3,0,0,0,2,0,2,9.43
99514,2026-08-11,GLM-5.2-MXFP4,enablement_stalled,31.38,21.51,9.27,0.6,0.0,773,341,55.9,0,0,0,5,1,16,21.51
99515,2026-08-11,Llama-3.1-8B-Instruct,global_converged,52.94,30.56,21.41,0.86,0.11,1270,597,53.0,18,3,3,18,1,78,0.0
99516,2026-08-11,Qwen3-14B-FP8,conc_sweep_failed,28.42,9.08,18.15,0.83,0.37,216,215,0.5,7,1,0,4,2,6,0.0
99517,2026-08-11,Qwen3-0.6B,global_converged,68.32,32.02,34.86,1.08,0.36,1354,703,48.1,27,5,5,16,2,75,0.0
99518,2026-08-11,FLUX.1-dev,global_converged,85.55,62.03,22.58,0.93,0.0,1868,887,52.5,14,4,3,18,4,71,9.45
99519,2026-08-11,Nucleus-Image,enablement_stalled,23.07,19.68,3.11,0.28,0.0,681,309,54.6,0,0,0,5,2,4,19.68
99520,2026-08-11,FLUX.1-schnell,enablement_stalled,26.6,21.59,4.73,0.28,0.0,754,316,58.1,0,0,0,5,1,7,21.59
