sbd_id,cost_usd,token_spend,model_name,source_session_id,langfuse_trace_id,archive_session_id,archive_status,file_count,total_bytes,archive_relative_root,absolute_manifest_url,absolute_file_url_template,archive_error
99417,174.00,189910538,GLM-5.2-MXFP4,GLM-5.2-MXFP4_20260810T093716Z_7c073d71,4f1bf243e5b25caa04514c497707d8aa,,unavailable,,,GLM-5.2-MXFP4/20260810T093716Z/,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/GLM-5.2-MXFP4_20260810T093716Z_7c073d71/files?cluster=crusoe&claw_session_id=4c3262f5-f06d-441e-9056-ed8d49e06fbb,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/GLM-5.2-MXFP4_20260810T093716Z_7c073d71/files/{relative_path}?cluster=crusoe&claw_session_id=4c3262f5-f06d-441e-9056-ed8d49e06fbb,no archive record for this session
99433,53.18,17123388,Mixtral-8x7B-Instruct-v0.1,Mixtral-8x7B-Instruct-v0.1_20260811T021126Z_1c646abf,bfdb19994871257df44af077184430e1,,unavailable,,,Mixtral-8x7B-Instruct-v0.1/20260811T021126Z/,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/Mixtral-8x7B-Instruct-v0.1_20260811T021126Z_1c646abf/files?cluster=crusoe&claw_session_id=e949c981-43ae-475c-8f85-d7e988a421d7,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/Mixtral-8x7B-Instruct-v0.1_20260811T021126Z_1c646abf/files/{relative_path}?cluster=crusoe&claw_session_id=e949c981-43ae-475c-8f85-d7e988a421d7,no archive record for this session
99434,153.92,159565541,Qwen3.5-397B-A17B-MXFP4,Qwen3.5-397B-A17B-MXFP4_20260810T093842Z_7bff35e5,5ca2a9fd92c9bce732aa0999204558fb,,unavailable,,,Qwen3.5-397B-A17B-MXFP4/20260810T093842Z/,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/Qwen3.5-397B-A17B-MXFP4_20260810T093842Z_7bff35e5/files?cluster=crusoe&claw_session_id=d71146f6-218c-4d1c-b431-6a6ad70a21ef,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/Qwen3.5-397B-A17B-MXFP4_20260810T093842Z_7bff35e5/files/{relative_path}?cluster=crusoe&claw_session_id=d71146f6-218c-4d1c-b431-6a6ad70a21ef,no archive record for this session
99445,129.59,43888778,gemma-4-26B-A4B-it,gemma-4-26B-A4B-it_20260811T002056Z_0a1c1a3b,8887cd6deb2d02703d7bd21cf8c99da0,,unavailable,,,gemma-4-26B-A4B-it/20260811T002056Z/,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/gemma-4-26B-A4B-it_20260811T002056Z_0a1c1a3b/files?cluster=crusoe&claw_session_id=b1be2b32-a049-4e0d-8f4e-362872962f2e,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/gemma-4-26B-A4B-it_20260811T002056Z_0a1c1a3b/files/{relative_path}?cluster=crusoe&claw_session_id=b1be2b32-a049-4e0d-8f4e-362872962f2e,no archive record for this session
99446,151.48,51931010,gpt-oss-120b,gpt-oss-120b_20260811T022812Z_f3928b52,4d3a5627a7b157ae23ea7ad9a7657d8d,,unavailable,,,gpt-oss-120b/20260811T022812Z/,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/gpt-oss-120b_20260811T022812Z_f3928b52/files?cluster=crusoe&claw_session_id=6750f641-ef38-4e1a-bb38-9bab4afad59a,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/gpt-oss-120b_20260811T022812Z_f3928b52/files/{relative_path}?cluster=crusoe&claw_session_id=6750f641-ef38-4e1a-bb38-9bab4afad59a,no archive record for this session
99449,322.12,352752314,Qwen3-14B-FP8,Qwen3-14B-FP8_20260810T153142Z_c58b067c,c40c3840a8286f663c8b5666739f20fe,,unavailable,,,Qwen3-14B-FP8/20260810T153142Z/,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/Qwen3-14B-FP8_20260810T153142Z_c58b067c/files?cluster=crusoe&claw_session_id=e34430a0-e74e-4160-842d-cd90593a1bee,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/Qwen3-14B-FP8_20260810T153142Z_c58b067c/files/{relative_path}?cluster=crusoe&claw_session_id=e34430a0-e74e-4160-842d-cd90593a1bee,no archive record for this session
99475,85.29,28570513,DeepSeek-V4-Flash-0731,DeepSeek-V4-Flash-0731_20260811T024430Z_0c792943,ff348882d436f94b938cd250fecebf8a,DeepSeek-V4-Flash-0731_20260811T024430Z_0c792943,ready,1559,75583408,DeepSeek-V4-Flash-0731/20260811T024430Z/,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/DeepSeek-V4-Flash-0731_20260811T024430Z_0c792943/files?cluster=crusoe&claw_session_id=edc37d27-0aa9-49cb-8c8c-196f3f14c114,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/DeepSeek-V4-Flash-0731_20260811T024430Z_0c792943/files/{relative_path}?cluster=crusoe&claw_session_id=edc37d27-0aa9-49cb-8c8c-196f3f14c114,
99477,109.97,36352485,Qwen3-8B,Qwen3-8B_20260811T021852Z_8d740c4e,383ae4b4758f466df8a526785fdf0efe,Qwen3-8B_20260811T021852Z_8d740c4e,ready,2147,69252256,Qwen3-8B/20260811T021852Z/,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/Qwen3-8B_20260811T021852Z_8d740c4e/files?cluster=crusoe&claw_session_id=8eabf4fd-8f1a-4431-bd43-6fd8df631f0e,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/Qwen3-8B_20260811T021852Z_8d740c4e/files/{relative_path}?cluster=crusoe&claw_session_id=8eabf4fd-8f1a-4431-bd43-6fd8df631f0e,
99478,187.86,201763025,Qwen3-8B,Qwen3-8B_20260810T171049Z_4107a327,cc918c9c55b7794d4c1a6d34ec06eaf8,Qwen3-8B_20260810T171049Z_4107a327,ready,1096,80168927,Qwen3-8B/20260810T171049Z/,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/Qwen3-8B_20260810T171049Z_4107a327/files?cluster=crusoe&claw_session_id=f2afaaa8-9a3f-47df-82a8-68f8dae05619,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/Qwen3-8B_20260810T171049Z_4107a327/files/{relative_path}?cluster=crusoe&claw_session_id=f2afaaa8-9a3f-47df-82a8-68f8dae05619,
99479,185.41,210861841,Qwen3-8B,Qwen3-8B_20260810T194704Z_47ab688c,ba63b003758a07abf86fa40d72960bc9,Qwen3-8B_20260810T194704Z_47ab688c,ready,1047,87557054,Qwen3-8B/20260810T194704Z/,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/Qwen3-8B_20260810T194704Z_47ab688c/files?cluster=crusoe&claw_session_id=c28c2eb6-1d5a-4517-ae59-7072d29ca6a2,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/Qwen3-8B_20260810T194704Z_47ab688c/files/{relative_path}?cluster=crusoe&claw_session_id=c28c2eb6-1d5a-4517-ae59-7072d29ca6a2,
99481,35.42,29921955,Qwen3-0.6B,Qwen3-0.6B_20260811T080442Z_c06ff3ce,0c17b78a319070125f5a0b158f2fd9c9,Qwen3-0.6B_20260811T080442Z_c06ff3ce,ready,293,9675851,Qwen3-0.6B/20260811T080442Z/,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/Qwen3-0.6B_20260811T080442Z_c06ff3ce/files?cluster=crusoe&claw_session_id=357e8b27-70da-42d8-b16c-a1d755ebb14b,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/Qwen3-0.6B_20260811T080442Z_c06ff3ce/files/{relative_path}?cluster=crusoe&claw_session_id=357e8b27-70da-42d8-b16c-a1d755ebb14b,
99482,173.50,60274519,GLM-5.2-MXFP4,GLM-5.2-MXFP4_20260811T031813Z_8f9e38ec,de6be2657176eacf448080873ef434bf,GLM-5.2-MXFP4_20260811T031813Z_8f9e38ec,ready,1030,30573557,GLM-5.2-MXFP4/20260811T031813Z/,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/GLM-5.2-MXFP4_20260811T031813Z_8f9e38ec/files?cluster=crusoe&claw_session_id=15fd2cfa-097d-4039-a9ff-4a9e5a1d3eee,https://global.primus-safe.amd.com/pulse/api/v1/session-archives/GLM-5.2-MXFP4_20260811T031813Z_8f9e38ec/files/{relative_path}?cluster=crusoe&claw_session_id=15fd2cfa-097d-4039-a9ff-4a9e5a1d3eee,
