sbd_id,research_lane_capacity,specialists,cpu_only,gpu_holding,peak_concurrency,peak_cpu_only,mean_concurrency,pct_time_at_cap,specialist_busy_hours,max_burst
99475,8,10,6,4,2,2,1.039,0.0,0.57,1
99477,2,25,24,1,2,2,1.513,51.3,0.78,1
99478,2,18,11,7,2,2,1.025,2.5,7.14,1
99479,2,14,7,7,2,2,1.038,3.8,6.76,1
99482,16,16,0,16,1,0,1.0,0.0,1.15,1
99483,2,13,6,7,2,2,1.034,3.4,3.56,1
99487,16,7,6,1,2,2,1.221,0.0,1.19,1
99489,2,16,8,8,2,2,1.095,9.5,3.86,1
99490,4,28,20,8,4,4,1.13,1.8,8.07,1
99493,2,25,21,4,2,2,1.272,27.2,3.4,1
99494,16,12,8,4,2,2,1.136,0.0,0.51,1
99495,2,2,2,0,2,2,1.641,64.1,0.15,2
99496,8,9,6,3,3,3,1.372,0.0,0.19,1
99497,4,15,12,3,2,2,1.655,0.0,0.46,1
99500,2,12,11,1,2,2,1.205,20.5,0.33,1
99502,2,12,7,5,2,2,1.083,8.3,3.1,1
99505,2,26,18,8,2,2,1.132,13.2,5.1,1
99506,16,5,0,5,1,0,1.0,0.0,1.77,1
99507,2,21,14,7,2,2,1.173,17.3,4.63,1
99509,16,2,0,2,1,0,1.0,0.0,0.29,1
99510,2,17,6,11,2,2,1.086,8.6,6.66,2
99512,2,7,7,0,2,2,1.25,25.0,0.57,1
99513,16,2,0,2,1,0,1.0,0.0,1.07,1
99514,16,5,0,5,1,0,1.0,0.0,2.25,1
99515,2,19,18,1,2,2,1.213,21.3,2.24,1
99516,2,4,4,0,2,2,1.871,87.1,0.06,2
99517,2,17,17,0,2,2,1.126,12.6,2.29,1
99518,2,18,8,10,2,2,1.06,6.0,4.87,1
99519,2,5,0,5,1,0,1.0,0.0,2.03,1
99520,2,5,0,5,1,0,1.0,0.0,1.74,1
99522,16,5,0,5,1,0,1.0,0.0,2.06,1
99530,8,22,18,4,3,3,1.116,0.0,4.95,1
99531,16,5,0,5,1,0,1.0,0.0,1.68,1
99537,16,5,0,5,1,0,1.0,0.0,0.72,1
99542,2,28,24,4,2,2,1.124,12.4,5.89,1
99546,16,14,8,6,3,3,1.191,0.0,0.78,1
99550,2,30,30,0,2,2,1.276,27.6,2.94,1
99556,16,5,0,5,1,0,1.0,0.0,0.5,1
99557,4,21,20,1,2,2,1.132,0.0,2.06,1
99561,4,6,2,4,2,2,1.045,0.0,1.8,1
99563,2,23,19,4,2,2,1.17,17.0,3.39,1
99571,2,16,13,3,2,2,1.145,14.5,4.81,2
99572,4,14,13,1,3,3,1.355,0.0,1.21,1
99573,2,10,7,3,2,2,1.22,22.0,0.96,2
99575,2,32,27,5,2,2,1.016,1.6,6.28,1
99576,16,9,0,9,1,0,1.0,0.0,2.14,1
99577,2,13,12,1,2,2,1.306,30.6,0.44,1
99578,2,18,13,5,2,2,1.079,7.9,3.35,1
99579,2,32,32,0,2,2,1.188,18.8,4.2,1
99580,2,18,12,6,2,2,1.211,21.1,3.65,1
99581,8,8,8,0,2,2,1.363,0.0,0.67,1
99585,1,10,7,3,2,1,1.199,100.0,1.34,1
99588,2,12,11,1,2,2,1.22,22.0,2.34,1
99589,8,8,8,0,2,2,1.185,0.0,1.02,1
99590,2,5,3,2,2,2,1.032,3.2,2.56,1
99591,2,24,18,6,2,2,1.186,18.6,5.02,1
99592,2,7,4,3,2,2,1.121,12.1,2.59,2
99593,2,21,20,1,2,2,1.25,25.0,1.94,1
99594,16,4,0,4,1,0,1.0,0.0,1.6,1
99595,2,18,13,5,2,2,1.145,14.5,2.99,1
99597,2,30,22,8,2,2,1.142,14.2,5.28,1
99598,2,14,8,6,2,2,1.098,9.8,4.5,1
99599,8,7,7,0,3,3,1.614,0.0,0.55,1
99601,16,5,0,5,1,0,1.0,0.0,1.72,1
99602,16,8,2,6,2,2,1.022,0.0,3.79,1
99604,16,13,11,2,3,3,1.217,0.0,0.59,1
99605,16,11,5,6,2,2,1.061,0.0,2.6,1
99606,2,6,0,6,1,0,1.0,0.0,2.97,1
99607,2,14,11,3,2,2,1.113,11.3,1.53,2
99619,4,18,16,2,2,2,1.222,0.0,2.51,1
99622,4,18,16,2,3,3,1.458,0.0,0.54,2
99628,2,14,9,5,2,2,1.078,7.8,3.21,1
99636,2,11,8,3,2,2,1.107,10.7,1.94,1
99665,2,3,3,0,2,2,1.48,48.0,0.19,1
99666,4,17,13,4,2,2,1.109,0.0,3.41,2
99668,2,13,11,2,2,2,1.028,2.8,2.58,1
99669,2,2,2,0,2,2,1.898,89.8,0.12,2
99671,2,12,6,6,2,2,1.128,12.8,2.95,1
99673,8,14,13,1,3,2,1.298,0.0,1.51,1
99674,8,10,8,2,2,2,1.044,0.0,4.04,1
99676,2,10,4,6,2,2,1.045,4.5,3.01,1
99678,16,2,2,0,2,2,1.883,0.0,0.11,2
99679,2,14,6,8,2,2,1.034,3.4,5.01,1
99681,2,10,8,2,2,2,1.102,10.2,2.63,2
99682,2,5,3,2,2,2,1.038,3.8,2.4,1
99683,4,22,18,4,3,3,1.411,0.0,2.36,1
99684,2,23,19,4,2,2,1.161,16.1,3.66,2
99686,2,22,14,8,2,2,1.115,11.5,4.05,1
99689,2,36,28,8,2,2,1.229,22.9,5.06,1
99693,16,4,2,2,2,2,1.095,0.0,1.17,1
99695,8,7,7,0,3,3,1.612,0.0,0.15,1
99697,2,7,3,4,2,2,1.059,5.9,1.71,1
99698,2,28,28,0,2,2,1.503,50.3,2.8,2
99701,2,3,2,1,2,2,1.112,11.2,0.17,1
99703,2,11,10,1,2,2,1.054,5.4,2.41,1
99705,4,17,10,7,2,2,1.172,0.0,0.73,1
99708,2,10,9,1,2,2,1.161,16.1,2.46,2
99717,2,12,11,1,2,2,1.092,9.2,1.97,1
99718,4,12,10,2,2,2,1.101,0.0,1.1,1
99719,16,3,0,3,1,0,1.0,0.0,0.65,1
99721,16,5,0,5,1,0,1.0,0.0,0.63,1
99722,4,17,17,0,2,2,1.496,0.0,1.95,2
99723,8,7,7,0,2,2,1.541,0.0,0.6,1
99725,2,30,20,10,2,2,1.108,10.8,2.15,1
99726,16,9,5,4,2,2,1.293,0.0,0.29,1
99727,16,1,0,1,1,0,1.0,0.0,0.24,1
99728,2,10,2,8,2,2,1.021,2.1,2.85,1
99729,4,17,10,7,2,2,1.122,0.0,3.24,1
