attempt	ms_per_iter	speedup_pct	status	description
0	13707.8	0.0	baseline	GPT-OSS 20B BF16 nightly baseline (8×MI355X, EP=8, mock data, iter 6-10 avg, run_pretrain.sh)
1	13668.3	0.2882	keep	gradient_accumulation_fusion=true
2	13531.9	1.2832	keep	+moe_use_fused_router_with_aux_score
3	13540.4	1.2212	discard	+moe_permute_fusion (best from prev run: +1.2%)
4	13586.0	0.8885	discard	+cross_entropy_loss_fusion
5	-1	0.0	crash	+turbo_deepep (CU=64) (exit=1)
6	16579.8	-20.9516	discard	+turbo_grouped_mlp
7	-1	0.0	crash	+sync_free_moe stage 2 (exit=1)
8	-1	0.0	crash	+sync_free_moe stage 3 (exit=1)
9	-1	0.0	crash	+turbo_deepep (CU=80) (exit=1)
10	13251.4	3.3295	keep	best + apply_rope_fusion=true
11	13547.3	1.1709	discard	best + moe_permute_fusion (retry)
12	13276.9	3.1435	discard	best + CE fusion (TE impl)
13	-1	0.0	crash	best + turbo_rms_norm (exit=1)
14	13719.1	-0.0824	discard	best + turbo_parallel_linear
15	13559.3	1.0833	discard	best + turbo_fused_act_with_probs
16	13537.3	1.2438	discard	best + MoE dispatcher alltoall
17	13648.5	0.4326	discard	best + shared_expert_overlap=false
18	13461.4	1.7975	discard	best + non-legacy grouped gemm
19	13658.7	0.3582	discard	best + router dtype bf16
20	13548.0	1.1658	discard	best + patch_moe_overlap
21	-1	0.0	crash	best + EP overlap + delay_wgrad (exit=1)
22	13535.4	1.2577	discard	best + CUDA_DEVICE_MAX_CONNECTIONS=2
23	13531.5	1.2861	discard	best + CUDA_DEVICE_MAX_CONNECTIONS=4
24	13865.1	-1.1475	discard	best + GPU_MAX_HW_QUEUES=4
25	13536.7	1.2482	discard	best + GPU_MAX_HW_QUEUES=1
26	13553.0	1.1293	discard	best + NCCL_ALGO=Ring
27	-1	0.0	crash	best + NCCL_ALGO=Tree (exit=1)
28	13547.6	1.1687	discard	best + NCCL_MIN_NCHANNELS=32
29	13544.1	1.1942	discard	best + HSA_ENABLE_SDMA=0
30	13537.6	1.2416	discard	best + NCCL_P2P_NET_CHUNKSIZE=1048576
31	13534.4	1.2650	discard	best + TORCH_NCCL_HIGH_PRIORITY=0
32	13534.6	1.2635	discard	CODE: cache get_args() in router.routing()
33	13537.5	1.2424	discard	CODE: cache get_args() in GroupedMLP.forward()
34	13513.2	1.4196	discard	CODE: both get_args() caches combined
35	13230.7	3.4805	keep	COMBO: all round 1-3 winners together
36	13318.1	2.8429	discard	COMBO: best + rope_fusion + permute_fusion
37	13073.3	4.6288	keep	COMBO: best + rope + CE(TE)
38	13604.8	0.7514	discard	COMBO: best + permute + CE
39	-1	0.0	crash	COMBO: best + rope + turbo_rms_norm (exit=1)
40	13060.3	4.7236	keep	COMBO: best config + CUDA_CONN=2+NCCL_Ring
41	13404.9	2.2097	discard	COMBO: best config + CUDA_CONN=2+HW_Q=4
42	13517.8	1.3861	discard	AGGR: non-persistent layer norm
43	13512.0	1.4284	discard	AGGR: attention_backend=flash
44	13532.1	1.2818	discard	AGGR: attention_backend=fused
45	-1	0.0	crash	AGGR: stock deepep (flex dispatcher) (exit=1)
46	-1	0.0	crash	AGGR: disable shared expert entirely (exit=1)
47	13548.5	1.1621	discard	AGGR: 2x comm unit size
48	13527.4	1.3160	discard	AGGR: enable compile_dependencies (fused CUDA)
49	13551.2	1.1424	discard	AGGR: reduce dataloader workers to 4
50	13851.3	-1.0468	discard	AGGR: no dataloader workers (inline)
51	7100.7	48.1996	keep	AGGR: micro_batch=4, GBS=256 (fewer GA steps)
52	-1	0.0	crash	AGGR: micro_batch=16 (larger per-step) (exit=1)
53	13687.5	0.1481	discard	torch.compile: max_autotune
54	13663.0	0.3268	discard	torch.compile: coordinate_descent
55	13655.6	0.3808	discard	torch.compile: freezing
56	13511.0	1.4357	discard	hipBLAS: TE tuning 10 runs
57	13251.0	3.3324	discard	MEGA: all config winners combined
