name,op category,process_name,process_label,thread_name,Input Dims,Input type,Input Strides,Concrete Inputs,ex_UID,operation_count,total_duration_us,mean_duration_us,std_duration_us,GFLOPS,Data Moved (MB),FLOPS/Byte,Compute Spec,TB/s_mean,TB/s_std,TFLOPS/s_mean,TFLOPS/s_std,Kernel Time (µs)_mean,Kernel Time (µs)_std,Kernel Time (µs)_sum,duration_us_median,duration_us_min,duration_us_max,TB/s_median,TB/s_min,TB/s_max,TFLOPS/s_median,TFLOPS/s_min,TFLOPS/s_max,Kernel Time (µs)_median,Kernel Time (µs)_min,Kernel Time (µs)_max,kernel_details_summary,trunc_kernel_details,perf_params,has_perf_model,Percentage (%),Cumulative Percentage (%),enhanced_category,display_name
aten::scatter_add_,elementwise,python,CPU,thread 166178 (python),"((32768, 2880), (), (131072, 2880), (131072, 2880))","('c10::BFloat16', 'Scalar', 'long int', 'c10::BFloat16')","((2880, 1), (), (1, 0), (2880, 1))","('', '0', '', '')",797,192,3685.727,19.196494791666662,5.502432706161573,,,,,,,,,1372.4529113769531,12.249540416513009,263510.958984375,16.688000000000002,15.291,40.685,,,,,,,1374.19189453125,1337.65234375,1396.732421875,"[{'name': 'void at::native::_scatter_gather_elementwise_kernel<256, 4, at::native::_cuda_scatter_gather_internal_kernel<true, c10::BFloat16, long>::operator()<at::native::ReduceAdd>(at::TensorIterator&, long, long, long, at::native::ReduceAdd const&)::{lambda(int)#1}>(int, at::native::_cuda_scatter_gather_internal_kernel<true, c10::BFloat16, long>::operator()<at::native::ReduceAdd>(at::TensorIterator&, long, long, long, at::native::ReduceAdd const&)::{lambda(int)#1})', 'stream': 0, 'count': 192, 'total_duration_us': np.float64(263510.966), 'mean_duration_us': np.float64(1372.4529479166667), 'median_duration_us': np.float64(1374.192), 'std_dev_duration_us': np.float64(12.217589830999291), 'min_duration_us': np.float64(1337.652), 'max_duration_us': np.float64(1396.732)}]","[{'name': 'void at::native::_scatter_gather_elementwise_kernel<256, 4, at::...', 'stream': 0, 'mean_duration_us': np.float64(1372.45)}]",,False,2.2201293594572458,69.80224236894306,elementwise,elementwise
aten::add_,elementwise,python,CPU,thread 166796 (pt_autograd_0),"((5760, 2880), (5760, 2880), ())","('float', 'c10::BFloat16', 'Scalar')","((2880, 1), (2880, 1), ())","('', '', '1')",138317,960,7310.872,7.615491666666667,3.3511044847808,0.0165888,158.203125,0.1,vector_fp32,2.7427118275465228,0.3414020894709894,0.2742711827546523,0.0341402089470989,61.47049357096354,7.954692371012944,59011.673828125,5.7275,3.846,54.194,2.9361472889389013,1.88766751491849,3.245124976120429,0.2936147288938902,0.188766751491849,0.324512497612043,56.49853515625,51.119140625,87.8798828125,"[{'name': 'void at::native::vectorized_templated_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>, TrivialOffsetCalculator<2, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<2>, at::native::memory::StoreWithCast<1>, float, float, c10::BFloat16>(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>, TrivialOffsetCalculator<2, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<2>, at::native::memory::StoreWithCast<1>)', 'stream': 0, 'count': 960, 'total_duration_us': np.float64(59011.687), 'mean_duration_us': np.float64(61.470507291666664), 'median_duration_us': np.float64(56.498999999999995), 'std_dev_duration_us': np.float64(7.950562255140419), 'min_duration_us': np.float64(51.119), 'max_duration_us': np.float64(87.88)}]","[{'name': 'void at::native::vectorized_templated_elementwise_kernel<4, at::...', 'stream': 0, 'mean_duration_us': np.float64(61.47)}]","{'shape_in1': (5760, 2880), 'shape_in2': (5760, 2880), 'dtype_in1_in2_out': ('float', 'c10::BFloat16', None), 'stride_input1': (2880, 1), 'stride_input2': (2880, 1), 'stride_output': None}",True,0.4971844439468021,90.64129759175152,elementwise,elementwise
aten::add_,elementwise,python,CPU,thread 166796 (pt_autograd_0),"((2880, 2880), (2880, 2880), ())","('float', 'c10::BFloat16', 'Scalar')","((2880, 1), (2880, 1), ())","('', '', '1')",138136,960,6881.571,7.168303125,2.791031760216768,0.0082944,79.1015625,0.1,vector_fp32,2.003127644042007,0.3758240781061611,0.2003127644042007,0.037582407810616,43.50015360514323,24.2070169850076,41760.1474609375,5.348,3.936,16.442,2.073650626235992,0.1102148585309643,3.371894715947437,0.2073650626235992,0.0110214858530964,0.3371894715947437,39.9990234375,24.5986328125,752.56640625,"[{'name': 'void at::native::vectorized_templated_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>, TrivialOffsetCalculator<2, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<2>, at::native::memory::StoreWithCast<1>, float, float, c10::BFloat16>(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>, TrivialOffsetCalculator<2, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<2>, at::native::memory::StoreWithCast<1>)', 'stream': 0, 'count': 960, 'total_duration_us': np.float64(41760.148), 'mean_duration_us': np.float64(43.50015416666667), 'median_duration_us': np.float64(39.999), 'std_dev_duration_us': np.float64(24.1943948215797), 'min_duration_us': np.float64(24.599), 'max_duration_us': np.float64(752.566)}]","[{'name': 'void at::native::vectorized_templated_elementwise_kernel<4, at::...', 'stream': 0, 'mean_duration_us': np.float64(43.5)}]","{'shape_in1': (2880, 2880), 'shape_in2': (2880, 2880), 'dtype_in1_in2_out': ('float', 'c10::BFloat16', None), 'stride_input1': (2880, 1), 'stride_input2': (2880, 1), 'stride_output': None}",True,0.351837091674008,93.6096961645578,elementwise,elementwise
aten::copy_,elementwise,python,CPU,thread 166178 (python),"((8, 4096, 64, 64), (8, 4096, 64, 64), ())","('c10::BFloat16', 'c10::BFloat16', 'Scalar')","((16777216, 4096, 64, 1), (4096, 32768, 64, 1), ())","('', '', 'False')",172,192,1358.762,7.076885416666666,1.2097160920857148,0.134217728,512.0,0.25,vector_bf16,2.989290191919812,0.1028237333692699,0.7473225479799529,0.0257059333423174,179.81442260742188,6.32874966831762,34524.369140625,6.874,5.548,17.404,2.987917155469284,2.6540942568276726,3.181254745866872,0.7469792888673209,0.6635235642069182,0.795313686466718,179.6806640625,168.7607421875,202.2802734375,"[{'name': 'void at::native::elementwise_kernel_manual_unroll<128, 8, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int, bool)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int, bool)#1})', 'stream': 0, 'count': 192, 'total_duration_us': np.float64(34524.369000000006), 'mean_duration_us': np.float64(179.81442187500002), 'median_duration_us': np.float64(179.68099999999998), 'std_dev_duration_us': np.float64(6.312230701693061), 'min_duration_us': np.float64(168.761), 'max_duration_us': np.float64(202.28)}]","[{'name': 'void at::native::elementwise_kernel_manual_unroll<128, 8, at::na...', 'stream': 0, 'mean_duration_us': np.float64(179.81)}]","{'op_shape': (8, 4096, 64, 64), 'dtype_in_out': ('c10::BFloat16', 'c10::BFloat16'), 'stride_input': (16777216, 4096, 64, 1), 'stride_output': (4096, 32768, 64, 1)}",True,0.2908742992749163,94.84356679281196,elementwise,elementwise
aten::copy_,elementwise,python,CPU,thread 166178 (python),"((4096, 8, 4096), (4096, 8, 4096), ())","('c10::BFloat16', 'c10::BFloat16', 'Scalar')","((32768, 4096, 1), (4096, 16777216, 1), ())","('', '', 'False')",218,192,1401.259,7.298223958333334,0.6830255657016437,0.134217728,512.0,0.25,vector_bf16,3.0198104089869595,0.0715244129051475,0.7549526022467399,0.0178811032262868,177.8848673502604,4.3275064237883845,34153.89453125,7.125,5.999,10.515,3.0222304835957425,2.765649531582654,3.176750958579882,0.7555576208989356,0.6914123828956635,0.7941877396449705,177.640625,169.0,194.12109375,"[{'name': 'void at::native::elementwise_kernel_manual_unroll<128, 8, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int, bool)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int, bool)#1})', 'stream': 0, 'count': 192, 'total_duration_us': np.float64(34153.89), 'mean_duration_us': np.float64(177.88484375), 'median_duration_us': np.float64(177.641), 'std_dev_duration_us': np.float64(4.316219811961536), 'min_duration_us': np.float64(169.0), 'max_duration_us': np.float64(194.121)}]","[{'name': 'void at::native::elementwise_kernel_manual_unroll<128, 8, at::na...', 'stream': 0, 'mean_duration_us': np.float64(177.88)}]","{'op_shape': (4096, 8, 4096), 'dtype_in_out': ('c10::BFloat16', 'c10::BFloat16'), 'stride_input': (32768, 4096, 1), 'stride_output': (4096, 16777216, 1)}",True,0.2877529810558298,95.1313197738678,elementwise,elementwise
aten::add_,elementwise,python,CPU,thread 166796 (pt_autograd_0),"((4096, 8, 2880), (4096, 8, 2880), ())","('c10::BFloat16', 'c10::BFloat16', 'Scalar')","((23040, 2880, 1), (23040, 2880, 1), ())","('', '', '1')",138956,376,2666.989,7.09305585106383,1.2163159784936672,0.09437184,540.0,0.1666666666666666,vector_bf16,6.6899256153126405,0.1755976799747987,1.1149876025521066,0.0292662799957996,84.69874864943485,2.270077045197323,31846.7294921875,7.48,4.857,11.426,6.710459607289224,6.062405480437464,7.025233054983401,1.118409934548204,1.0104009134062442,1.170872175830567,84.38037109375,80.599609375,93.400390625,"[{'name': 'void at::native::vectorized_elementwise_kernel<8, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char*, 3ul>)', 'stream': 0, 'count': 376, 'total_duration_us': np.float64(31846.742), 'mean_duration_us': np.float64(84.69878191489362), 'median_duration_us': np.float64(84.38), 'std_dev_duration_us': np.float64(2.2670621748347677), 'min_duration_us': np.float64(80.6), 'max_duration_us': np.float64(93.4)}]","[{'name': 'void at::native::vectorized_elementwise_kernel<8, at::native::CU...', 'stream': 0, 'mean_duration_us': np.float64(84.7)}]","{'shape_in1': (4096, 8, 2880), 'shape_in2': (4096, 8, 2880), 'dtype_in1_in2_out': ('c10::BFloat16', 'c10::BFloat16', None), 'stride_input1': (23040, 2880, 1), 'stride_input2': (23040, 2880, 1), 'stride_output': None}",True,0.2683146819426619,95.6847828278554,elementwise,elementwise
aten::add_,elementwise,python,CPU,thread 166796 (pt_autograd_0),"((64,), (64,), ())","('float', 'c10::BFloat16', 'Scalar')","((1,), (1,), ())","('', '', '1')",138850,576,3776.777,6.556904513888889,0.8842298950998462,6.4e-08,0.0006103515625,0.1,vector_fp32,1.9898581610875622e-05,1.014935975532385e-06,1.989858161087563e-06,1.0149359755323826e-07,32.24512396918403,1.6185598546239723,18573.19140625,6.639,4.677,15.371,1.995068343024141e-05,1.7335273112022217e-05,2.406138708374637e-05,1.9950683430241407e-06,1.733527311202222e-06,2.406138708374637e-06,32.0791015625,26.5986328125,36.9189453125,"[{'name': 'void at::native::vectorized_templated_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>, TrivialOffsetCalculator<2, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<2>, at::native::memory::StoreWithCast<1>, float, float, c10::BFloat16>(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>, TrivialOffsetCalculator<2, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<2>, at::native::memory::StoreWithCast<1>)', 'stream': 0, 'count': 576, 'total_duration_us': np.float64(18573.205), 'mean_duration_us': np.float64(32.24514756944445), 'median_duration_us': np.float64(32.079), 'std_dev_duration_us': np.float64(1.6171444378091735), 'min_duration_us': np.float64(26.599), 'max_duration_us': np.float64(36.919)}]","[{'name': 'void at::native::vectorized_templated_elementwise_kernel<4, at::...', 'stream': 0, 'mean_duration_us': np.float64(32.25)}]","{'shape_in1': (64,), 'shape_in2': (64,), 'dtype_in1_in2_out': ('float', 'c10::BFloat16', None), 'stride_input1': (1,), 'stride_input2': (1,), 'stride_output': None}",True,0.1564826286495343,97.0758760038542,elementwise,elementwise
aten::add,elementwise,python,CPU,thread 166796 (pt_autograd_0),"((4096, 8, 2880), (4096, 8, 2880), ())","('c10::BFloat16', 'c10::BFloat16', 'Scalar')","((23040, 2880, 1), (23040, 2880, 1), ())","('', '', '1')",138754,200,1979.643,9.898215,1.3693499939036842,0.09437184,540.0,0.1666666666666666,vector_bf16,6.245152231341574,0.1527094606544566,1.0408587052235956,0.0254515767757428,90.7236865234375,2.321533854882725,18144.7373046875,9.854,6.429,16.803,6.270534116944599,5.527417658509614,6.62107277394601,1.0450890194907665,0.921236276418269,1.1035121289910017,90.30029296875,85.51953125,102.4404296875,"[{'name': 'void at::native::vectorized_elementwise_kernel<8, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char*, 3ul>)', 'stream': 0, 'count': 200, 'total_duration_us': np.float64(18144.732), 'mean_duration_us': np.float64(90.72366), 'median_duration_us': np.float64(90.3), 'std_dev_duration_us': np.float64(2.3156974639188084), 'min_duration_us': np.float64(85.52), 'max_duration_us': np.float64(102.44)}]","[{'name': 'void at::native::vectorized_elementwise_kernel<8, at::native::CU...', 'stream': 0, 'mean_duration_us': np.float64(90.72)}]","{'shape_in1': (4096, 8, 2880), 'shape_in2': (4096, 8, 2880), 'dtype_in1_in2_out': ('c10::BFloat16', 'c10::BFloat16', None), 'stride_input1': (23040, 2880, 1), 'stride_input2': (23040, 2880, 1), 'stride_output': None}",True,0.1528728223108341,97.38364981501236,elementwise,elementwise
aten::copy_,elementwise,python,CPU,thread 166178 (python),"((4096, 8, 8, 512), (4096, 8, 8, 512), ())","('c10::BFloat16', 'c10::BFloat16', 'Scalar')","((32768, 4096, 512, 1), (40960, 5120, 640, 1), ())","('', '', 'False')",134,192,2123.271,11.058703125,1.4887757648134732,0.134217728,512.0,0.25,vector_bf16,6.055068893342566,0.1348407697415567,1.5137672233356414,0.0337101924353891,88.71149190266927,2.122165907227888,17032.6064453125,10.6545,9.463,21.42,6.060890096144127,4.971026962962963,6.346021169202355,1.5152225240360315,1.2427567407407407,1.586505292300589,88.57958984375,84.599609375,108.0,"[{'name': 'void at::native::elementwise_kernel_manual_unroll<128, 8, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int, bool)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int, bool)#1})', 'stream': 0, 'count': 192, 'total_duration_us': np.float64(17032.6), 'mean_duration_us': np.float64(88.71145833333333), 'median_duration_us': np.float64(88.58), 'std_dev_duration_us': np.float64(2.1166347500054314), 'min_duration_us': np.float64(84.6), 'max_duration_us': np.float64(108.0)}]","[{'name': 'void at::native::elementwise_kernel_manual_unroll<128, 8, at::na...', 'stream': 0, 'mean_duration_us': np.float64(88.71)}]","{'op_shape': (4096, 8, 8, 512), 'dtype_in_out': ('c10::BFloat16', 'c10::BFloat16'), 'stride_input': (32768, 4096, 512, 1), 'stride_output': (40960, 5120, 640, 1)}",True,0.1435029107823983,97.52715272579476,elementwise,elementwise
aten::add_,elementwise,python,CPU,thread 166796 (pt_autograd_0),"((2880,), (2880,), ())","('float', 'c10::BFloat16', 'Scalar')","((1,), (1,), ())","('', '', '1')",138081,392,2268.407,5.786752551020409,0.791753793200376,2.88e-06,0.0274658203125,0.1,vector_fp32,0.0006671742561247,3.5124066573660766e-05,6.671742561247637e-05,3.512406657366076e-06,43.28791902503189,2.3046814377759866,16968.8642578125,5.6125,4.396,10.184,0.0006685300419098,0.000564273687433,0.0007438256658595,6.685300419098165e-05,5.642736874330323e-05,7.438256658595641e-05,43.07958984375,38.71875,51.0390625,"[{'name': 'void at::native::vectorized_templated_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>, TrivialOffsetCalculator<2, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<2>, at::native::memory::StoreWithCast<1>, float, float, c10::BFloat16>(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>, TrivialOffsetCalculator<2, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<2>, at::native::memory::StoreWithCast<1>)', 'stream': 0, 'count': 392, 'total_duration_us': np.float64(16968.861999999997), 'mean_duration_us': np.float64(43.287913265306116), 'median_duration_us': np.float64(43.079499999999996), 'std_dev_duration_us': np.float64(2.3017408623863664), 'min_duration_us': np.float64(38.719), 'max_duration_us': np.float64(51.039)}]","[{'name': 'void at::native::vectorized_templated_elementwise_kernel<4, at::...', 'stream': 0, 'mean_duration_us': np.float64(43.29)}]","{'shape_in1': (2880,), 'shape_in2': (2880,), 'dtype_in1_in2_out': ('float', 'c10::BFloat16', None), 'stride_input1': (1,), 'stride_input2': (1,), 'stride_output': None}",True,0.1429658708716097,97.67011859666636,elementwise,elementwise
