name,op category,process_name,process_label,thread_name,Input Dims,Input type,Input Strides,Concrete Inputs,ex_UID,operation_count,total_duration_us,mean_duration_us,std_duration_us,GFLOPS,Data Moved (MB),FLOPS/Byte,Compute Spec,TB/s_mean,TB/s_std,TFLOPS/s_mean,TFLOPS/s_std,Kernel Time (µs)_mean,Kernel Time (µs)_std,Kernel Time (µs)_sum,duration_us_median,duration_us_min,duration_us_max,TB/s_median,TB/s_min,TB/s_max,TFLOPS/s_median,TFLOPS/s_min,TFLOPS/s_max,Kernel Time (µs)_median,Kernel Time (µs)_min,Kernel Time (µs)_max,kernel_details_summary,trunc_kernel_details,perf_params,has_perf_model,Percentage (%),Cumulative Percentage (%),enhanced_category,display_name
aten::sum,reduce,python,CPU,thread 166178 (python),"((4096, 256), (), (), ())","('bool', 'ScalarList', 'Scalar', '')","((256, 1), (), (), ())","('', '[0]', 'False', '')",336,192,6081.236,31.673104166666665,6.898490111723954,,,,,,,,,29.26718139648437,1.2224927578226166,5619.298828125,29.195,25.334,58.75,,,,,,,29.11865234375,27.1181640625,35.357421875,"[{'name': 'void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1} const&)::{lambda(int, bool)#1}>(int, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1} const&)::{lambda(int, bool)#1})', 'stream': 0, 'count': 192, 'total_duration_us': np.float64(1738.626), 'mean_duration_us': np.float64(9.05534375), 'median_duration_us': np.float64(8.959), 'std_dev_duration_us': np.float64(0.8370324917544146), 'min_duration_us': np.float64(7.639), 'max_duration_us': np.float64(14.199)}, {'name': 'void at::native::reduce_kernel<128, 4, at::native::ReduceOp<long, at::native::func_wrapper_t<long, at::native::sum_functor<long, long, long>::operator()(at::TensorIterator&)::{lambda(long, long)#1}>, unsigned int, long, 4, 4> >(at::native::ReduceOp<long, at::native::func_wrapper_t<long, at::native::sum_functor<long, long, long>::operator()(at::TensorIterator&)::{lambda(long, long)#1}>, unsigned int, long, 4, 4>)', 'stream': 0, 'count': 192, 'total_duration_us': np.float64(3880.681), 'mean_duration_us': np.float64(20.211880208333334), 'median_duration_us': np.float64(20.039), 'std_dev_duration_us': np.float64(0.849496972002622), 'min_duration_us': np.float64(18.159), 'max_duration_us': np.float64(25.079)}]","[{'name': 'void at::native::elementwise_kernel_manual_unroll<128, 4, at::na...', 'stream': 0, 'mean_duration_us': np.float64(9.06)}, {'name': 'void at::native::reduce_kernel<128, 4, at::native::ReduceOp<long...', 'stream': 0, 'mean_duration_us': np.float64(20.21)}]",,False,0.047343648840896,98.83534516232788,reduce,reduce
aten::sum,reduce,python,CPU,thread 166178 (python),"((4096, 256), (), (), ())","('float', 'ScalarList', 'Scalar', '')","((256, 1), (), (), ())","('', '[0]', 'False', '')",345,192,3414.532,17.784020833333333,2.2247146412890344,,,,,,,,,18.345860799153645,0.836849981823826,3522.4052734375,17.023,14.65,26.767,,,,,,,18.35986328125,16.359375,22.9189453125,"[{'name': 'void at::native::reduce_kernel<128, 4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4, 4>)', 'stream': 0, 'count': 192, 'total_duration_us': np.float64(3522.404), 'mean_duration_us': np.float64(18.345854166666665), 'median_duration_us': np.float64(18.3595), 'std_dev_duration_us': np.float64(0.8346812512765809), 'min_duration_us': np.float64(16.359), 'max_duration_us': np.float64(22.919)}]","[{'name': 'void at::native::reduce_kernel<128, 4, at::native::ReduceOp<floa...', 'stream': 0, 'mean_duration_us': np.float64(18.35)}]",,False,0.02967692650661,99.15469939433962,reduce,reduce
aten::sum,reduce,python,CPU,thread 166178 (python),"((32768, 32), (), (), ())","('bool', 'ScalarList', 'Scalar', '')","((32, 1), (), (), ())","('', '[0]', 'False', '')",412,192,5080.919,26.463119791666667,5.289183693905752,,,,,,,,,16.71599833170573,1.0516951494983455,3209.4716796875,25.365,22.43,85.307,,,,,,,16.4384765625,15.359375,25.7197265625,"[{'name': 'void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1} const&)::{lambda(int, bool)#1}>(int, at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1} const&)::{lambda(int, bool)#1})', 'stream': 0, 'count': 192, 'total_duration_us': np.float64(1184.705), 'mean_duration_us': np.float64(6.170338541666666), 'median_duration_us': np.float64(5.999), 'std_dev_duration_us': np.float64(0.6996578516302617), 'min_duration_us': np.float64(5.639), 'max_duration_us': np.float64(14.279)}, {'name': 'void at::native::reduce_kernel<128, 4, at::native::ReduceOp<long, at::native::func_wrapper_t<long, at::native::sum_functor<long, long, long>::operator()(at::TensorIterator&)::{lambda(long, long)#1}>, unsigned int, long, 4, 4> >(at::native::ReduceOp<long, at::native::func_wrapper_t<long, at::native::sum_functor<long, long, long>::operator()(at::TensorIterator&)::{lambda(long, long)#1}>, unsigned int, long, 4, 4>)', 'stream': 0, 'count': 192, 'total_duration_us': np.float64(2024.7530000000002), 'mean_duration_us': np.float64(10.545588541666667), 'median_duration_us': np.float64(10.299), 'std_dev_duration_us': np.float64(0.6416900313446048), 'min_duration_us': np.float64(9.48), 'max_duration_us': np.float64(12.879)}]","[{'name': 'void at::native::elementwise_kernel_manual_unroll<128, 4, at::na...', 'stream': 0, 'mean_duration_us': np.float64(6.17)}, {'name': 'void at::native::reduce_kernel<128, 4, at::native::ReduceOp<long...', 'stream': 0, 'mean_duration_us': np.float64(10.55)}]",,False,0.0270404021596812,99.2100380282098,reduce,reduce
aten::linalg_vector_norm,reduce,python,CPU,thread 166796 (pt_autograd_0),"((49766400,), (), (), (), ())","('float', 'Scalar', '', 'Scalar', '')","((1,), (), (), (), ())","('', '2', '', 'False', '')",288001,48,985.539,20.5320625,2.920075745201273,,,,,,,,,58.097900390625,2.426252592937333,2788.69921875,20.8435,16.833,30.652,,,,,,,58.3193359375,54.2802734375,62.8798828125,"[{'name': 'void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, 4, 4>)', 'stream': 0, 'count': 48, 'total_duration_us': np.float64(2788.7), 'mean_duration_us': np.float64(58.09791666666666), 'median_duration_us': np.float64(58.319), 'std_dev_duration_us': np.float64(2.4008820066221963), 'min_duration_us': np.float64(54.28), 'max_duration_us': np.float64(62.88)}]","[{'name': 'void at::native::reduce_kernel<512, 1, at::native::ReduceOp<floa...', 'stream': 0, 'mean_duration_us': np.float64(58.1)}]",,False,0.0234953150871022,99.28167559957838,reduce,reduce
aten::linalg_vector_norm,reduce,python,CPU,thread 166796 (pt_autograd_0),"((51523456,), (), (), (), ())","('float', 'Scalar', '', 'Scalar', '')","((1,), (), (), (), ())","('', '2', '', 'False', '')",289625,23,477.815,20.774565217391302,0.8131887752482341,,,,,,,,,64.75280230978261,1.4388026582475006,1489.314453125,20.578,19.417,22.942,,,,,,,64.3203125,62.51953125,67.919921875,"[{'name': 'void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::NormTwoOps<float, float, float>, unsigned int, float, 4, 4>)', 'stream': 0, 'count': 23, 'total_duration_us': np.float64(1489.315), 'mean_duration_us': np.float64(64.75282608695652), 'median_duration_us': np.float64(64.32), 'std_dev_duration_us': np.float64(1.407133708679484), 'min_duration_us': np.float64(62.52), 'max_duration_us': np.float64(67.92)}]","[{'name': 'void at::native::reduce_kernel<512, 1, at::native::ReduceOp<floa...', 'stream': 0, 'mean_duration_us': np.float64(64.75)}]",,False,0.0125477542019149,99.51541703728384,reduce,reduce
aten::sum,reduce,python,CPU,thread 166796 (pt_autograd_0),"((1,), (), (), ())","('float', 'ScalarList', 'Scalar', '')","((1,), (), (), ())","('', '[]', 'False', '')",137994,200,2573.23,12.86615,3.868289164839421,,,,,,,,,7.053828125,1.655789885291346,1410.765625,11.821000000000002,10.284,41.547,,,,,,,6.9189453125,3.6787109375,14.2392578125,"[{'name': 'void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4, 4>)', 'stream': 0, 'count': 200, 'total_duration_us': np.float64(1410.779), 'mean_duration_us': np.float64(7.053895), 'median_duration_us': np.float64(6.919), 'std_dev_duration_us': np.float64(1.6516709823614992), 'min_duration_us': np.float64(3.679), 'max_duration_us': np.float64(14.239)}]","[{'name': 'void at::native::reduce_kernel<512, 1, at::native::ReduceOp<floa...', 'stream': 0, 'mean_duration_us': np.float64(7.05)}]",,False,0.0118859655607768,99.56413391771304,reduce,reduce
aten::sum,reduce,python,CPU,thread 166178 (python),"((8, 4), (), (), ())","('long int', 'ScalarList', 'Scalar', '')","((4, 1), (), (), ())","('', '[1]', 'False', '')",421,192,1570.773,8.181109375,1.6515922552201778,,,,,,,,,6.625905354817708,0.5757622169041549,1272.173828125,7.76,6.238,18.075,,,,,,,6.5986328125,4.798828125,7.958984375,"[{'name': 'void at::native::reduce_kernel<512, 1, at::native::ReduceOp<long, at::native::func_wrapper_t<long, at::native::sum_functor<long, long, long>::operator()(at::TensorIterator&)::{lambda(long, long)#1}>, unsigned int, long, 4, 4> >(at::native::ReduceOp<long, at::native::func_wrapper_t<long, at::native::sum_functor<long, long, long>::operator()(at::TensorIterator&)::{lambda(long, long)#1}>, unsigned int, long, 4, 4>)', 'stream': 0, 'count': 192, 'total_duration_us': np.float64(1272.173), 'mean_duration_us': np.float64(6.625901041666666), 'median_duration_us': np.float64(6.599), 'std_dev_duration_us': np.float64(0.5742662942099088), 'min_duration_us': np.float64(4.799), 'max_duration_us': np.float64(7.959)}]","[{'name': 'void at::native::reduce_kernel<512, 1, at::native::ReduceOp<long...', 'stream': 0, 'mean_duration_us': np.float64(6.63)}]",,False,0.0107183036221309,99.74203710132,reduce,reduce
aten::sum,reduce,python,CPU,thread 166178 (python),"((256,), (), (), ())","('float', 'ScalarList', 'Scalar', '')","((1,), (), (), ())","('', '[]', 'False', '')",352,192,1701.995,8.864557291666666,2.19206417981505,,,,,,,,,6.449879964192708,1.1911458956451977,1238.376953125,8.1065,6.619,18.765,,,,,,,6.19921875,4.9189453125,12.6787109375,"[{'name': 'void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4, 4>)', 'stream': 0, 'count': 192, 'total_duration_us': np.float64(1238.373), 'mean_duration_us': np.float64(6.449859375), 'median_duration_us': np.float64(6.199), 'std_dev_duration_us': np.float64(1.1880307656017481), 'min_duration_us': np.float64(4.919), 'max_duration_us': np.float64(12.679)}]","[{'name': 'void at::native::reduce_kernel<512, 1, at::native::ReduceOp<floa...', 'stream': 0, 'mean_duration_us': np.float64(6.45)}]",,False,0.0104335585977319,99.76315489254048,reduce,reduce
aten::sum,reduce,python,CPU,thread 166178 (python),"((1, 8, 4), (), (), ())","('long int', 'ScalarList', 'Scalar', '')","((32, 4, 1), (), (), ())","('', '[2]', 'False', '')",439,192,1921.347,10.007015625,2.510256323818925,,,,,,,,,5.438003540039063,0.5822669956261517,1044.0966796875,9.418,7.851,29.571,,,,,,,5.19970703125,4.71875,7.3193359375,"[{'name': 'void at::native::reduce_kernel<512, 1, at::native::ReduceOp<long, at::native::func_wrapper_t<long, at::native::sum_functor<long, long, long>::operator()(at::TensorIterator&)::{lambda(long, long)#1}>, unsigned int, long, 4, 4> >(at::native::ReduceOp<long, at::native::func_wrapper_t<long, at::native::sum_functor<long, long, long>::operator()(at::TensorIterator&)::{lambda(long, long)#1}>, unsigned int, long, 4, 4>)', 'stream': 0, 'count': 192, 'total_duration_us': np.float64(1044.0970000000002), 'mean_duration_us': np.float64(5.438005208333334), 'median_duration_us': np.float64(5.1995000000000005), 'std_dev_duration_us': np.float64(0.5807426055760044), 'min_duration_us': np.float64(4.719), 'max_duration_us': np.float64(7.319)}]","[{'name': 'void at::native::reduce_kernel<512, 1, at::native::ReduceOp<long...', 'stream': 0, 'mean_duration_us': np.float64(5.44)}]",,False,0.0087967107767365,99.892492956062,reduce,reduce
aten::sum,reduce,python,CPU,thread 166178 (python),"((1, 8), (), (), ())","('long int', 'ScalarList', 'Scalar', '')","((8, 1), (), (), ())","('', '[1]', 'False', '')",443,192,1546.412,8.054229166666667,3.250758922197143,,,,,,,,,5.401295979817708,0.5959324107865457,1037.048828125,7.335,6.098,34.637,,,,,,,5.19921875,4.638671875,7.359375,"[{'name': 'void at::native::reduce_kernel<512, 1, at::native::ReduceOp<long, at::native::func_wrapper_t<long, at::native::sum_functor<long, long, long>::operator()(at::TensorIterator&)::{lambda(long, long)#1}>, unsigned int, long, 4, 4> >(at::native::ReduceOp<long, at::native::func_wrapper_t<long, at::native::sum_functor<long, long, long>::operator()(at::TensorIterator&)::{lambda(long, long)#1}>, unsigned int, long, 4, 4>)', 'stream': 0, 'count': 192, 'total_duration_us': np.float64(1037.0549999999998), 'mean_duration_us': np.float64(5.401328124999999), 'median_duration_us': np.float64(5.199), 'std_dev_duration_us': np.float64(0.5943561218879225), 'min_duration_us': np.float64(4.639), 'max_duration_us': np.float64(7.359)}]","[{'name': 'void at::native::reduce_kernel<512, 1, at::native::ReduceOp<long...', 'stream': 0, 'mean_duration_us': np.float64(5.4)}]",,False,0.0087373313025951,99.91002623296312,reduce,reduce
