rank,Process Group Name,Process Group Ranks,Collective name,Group size,dtype,In msg nelems,Out msg nelems,In split size,Out split size,stream,In msg size (MB)_first,Out msg size (MB)_first,dur_sum,dur_mean,dur_std,dur_min,dur_max,operation_count
0,63,"[0, 1, 2, 3, 4, 5, 6, 7]",all_to_allv,8,BFloat16,377487360,377487360,"[16384, 16384, 16384, 16384, 16384, 16384, 16384, 16384]","[16384, 16384, 16384, 16384, 16384, 16384, 16384, 16384]",0,720.0,720.0,1605000.415,2089.8442903645832,1375.5268026536153,1597.654,36754.583,768
0,63,"[0, 1, 2, 3, 4, 5, 6, 7]",all_to_allv,8,BFloat16,131072,131072,"[16384, 16384, 16384, 16384, 16384, 16384, 16384, 16384]","[16384, 16384, 16384, 16384, 16384, 16384, 16384, 16384]",0,0.25,0.25,29049.416,75.64952083333334,84.69223185307756,10.759,357.683,384
0,1,"[0, 1, 2, 3, 4, 5, 6, 7]",reduce_scatter_tensor_coalesced,8,Float,51523456,6440432,[],[],46,196.54638671875,24.56829833984375,26940.389,1171.321260869565,223.3830629811444,605.844,1557.814,23
0,1,"[0, 1, 2, 3, 4, 5, 6, 7]",allgather_into_tensor_coalesced,8,BFloat16,6440432,51523456,[],[],46,12.284149169921875,98.273193359375,9099.944,395.64973913043474,32.595617108073384,266.402,456.244,23
0,72,"[0, 1, 2, 3, 4, 5, 6, 7]",_allgather_base,8,Long,32,256,[],[],0,0.000244140625,0.001953125,5520.8189999999995,28.754265625,36.450475405618036,9.759,333.602,192
0,1,"[0, 1, 2, 3, 4, 5, 6, 7]",reduce_scatter_tensor_coalesced,8,Float,288276480,36034560,[],[],46,1099.6875,137.4609375,4296.079,4296.079,,4296.079,4296.079,1
0,1,"[0, 1, 2, 3, 4, 5, 6, 7]",reduce_scatter_tensor_coalesced,8,Float,288276608,36034576,[],[],46,1099.68798828125,137.46099853515625,2343.821,2343.821,,2343.821,2343.821,1
0,1,"[0, 1, 2, 3, 4, 5, 6, 7]",allgather_into_tensor_coalesced,8,BFloat16,36034560,288276480,[],[],46,68.73046875,549.84375,1488.613,1488.613,,1488.613,1488.613,1
0,1,"[0, 1, 2, 3, 4, 5, 6, 7]",reduce_scatter_tensor_coalesced,8,Float,51526272,6440784,[],[],46,196.55712890625,24.56964111328125,1284.931,1284.931,,1284.931,1284.931,1
0,1,"[0, 1, 2, 3, 4, 5, 6, 7]",allgather_into_tensor_coalesced,8,BFloat16,36034576,288276608,[],[],46,68.73049926757812,549.843994140625,1273.571,1273.571,,1273.571,1273.571,1
0,1,"[0, 1, 2, 3, 4, 5, 6, 7]",allgather_into_tensor_coalesced,8,BFloat16,6440784,51526272,[],[],46,12.284820556640625,98.278564453125,393.722,393.722,,393.722,393.722,1
0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",barrier,8,Byte,0,0,[],[],0,0.0,0.0,339.081,169.5405,220.19517298183447,13.839,325.242,2
0,3,"[0, 1, 2, 3, 4, 5, 6, 7]",allreduce,8,Float,24,24,[],[],0,9.1552734375e-05,9.1552734375e-05,136.8,136.8,,136.8,136.8,1
0,90,"[0, 1, 2, 3, 4, 5, 6, 7]",allreduce,8,Float,1,1,[],[],0,3.814697265625e-06,3.814697265625e-06,17.88,17.88,,17.88,17.88,1
0,1,"[0, 1, 2, 3, 4, 5, 6, 7]",allreduce,8,Float,2,2,[],[],0,7.62939453125e-06,7.62939453125e-06,16.799,16.799,,16.799,16.799,1
