name,total_direct_kernel_time_sum,Count,Categories,total_direct_kernel_time_ms,Percentage (%),Cumulative Percentage (%)
AiterFlashAttnFuncBackward,2688744.9697265625,192,{'other'},2688.7449697265624,22.595395551071643,22.595395551071643
_GroupedLinearBackward,2453272.51171875,384,{'other'},2453.27251171875,20.616556579738962,43.2119521308106
_LinearBackward,1139545.546875,576,{'other'},1139.545546875,9.576394440533875,52.788346571344476
_GroupedLinear,1035443.07421875,384,{'other'},1035.44307421875,8.701548899585527,61.48989547093
aten::cat,530140.162109375,1353,{'other'},530.140162109375,4.455136799972804,65.9450322709028
_Linear,437917.015625,576,{'other'},437.917015625,3.680121505758867,69.62515377666166
_LayerNormLinearBackward,365465.95703125,192,{'other'},365.46595703125,3.071264828962877,72.69641860562454
AiterFlashAttnFunc,321972.5087890625,192,{'other'},321.9725087890625,2.705759108644511,75.40217771426906
aten::mm,312410.4345703125,24,{'GEMM'},312.4104345703125,2.6254023430553475,78.0275800573244
triton_poi_fused_add_cat_mul_rsub_sigmoid_silu_split_0,292085.2919921875,384,{'triton'},292.0852919921875,2.4545960221303225,80.48217607945472
aten::scatter_add_,263510.958984375,192,{'elementwise'},263.510958984375,2.2144660119623345,82.69664209141705
aten::index_add_,239218.0078125,192,{'other'},239.2180078125,2.0103154335282603,84.70695752494531
aten::add_,231494.724609375,4634,{'elementwise'},231.494724609375,1.9454113087814258,86.65236883372674
_OperationFuserAutogradFunctionBackward,221080.5107421875,584,{'other'},221.0805107421875,1.8578934205726056,88.51026225429935
aten::copy_,215193.8994140625,7474,"{'elementwise', 'UnaryElementwise'}",215.1938994140625,1.8084241280543458,90.31868638235369
_LayerNormLinear,151489.1240234375,192,{'other'},151.4891240234375,1.273068557090792,91.59175493944448
aten::gather,98513.0205078125,584,"{'elementwise', 'other'}",98.5130205078125,0.8278734838623344,92.41962842330682
_OperationFuserAutogradFunction,93068.6708984375,584,{'other'},93.0686708984375,0.7821208244144355,93.20174924772125
triton_poi_fused_mul_silu_split_0,90501.41015625,384,{'triton'},90.50141015625,0.7605463453896124,93.96229559311087
triton_red_fused_copy__exp_sub_sum_unsqueeze_2,80460.83203125,8,{'triton'},80.46083203125,0.6761683784012134,94.63846397151208
triton_red_fused_mul_silu_split_sum_1,73128.5810546875,192,{'triton'},73.1285810546875,0.6145503696422755,95.25301434115435
FusedRoPEFunc,70001.587890625,384,{'other'},70.001587890625,0.5882720694602116,95.84128641061457
FusedRoPEFuncBackward,64350.064453125,384,{'other'},64.350064453125,0.5407783841258783,96.38206479474044
aten::fill_,46414.3095703125,3107,{'elementwise'},46.4143095703125,0.39005175119965196,96.7721165459401
aten::topk,44042.23046875,384,{'other'},44.04223046875,0.3701175193622286,97.14223406530232
triton_poi_fused__to_copy_copy__mul_unsqueeze_view_2,41418.2626953125,8,{'triton'},41.4182626953125,0.34806649168141635,97.49030055698374
triton_poi_fused_add_0,35378.466796875,384,{'triton'},35.378466796875,0.2973098825907393,97.78761043957448
triton_poi_fused_copy__div_split_unsqueeze_1,35129.12109375,8,{'triton'},35.12912109375,0.2952144570838559,98.08282489665834
triton_poi_fused__to_copy_arange_index_index_put_rsub_sub_view_0,33844.7490234375,8,{'triton'},33.8447490234375,0.2844209845566303,98.36724588121497
triton_red_fused__to_copy_max_0,28981.3828125,8,{'triton'},28.9813828125,0.2435507330143188,98.61079661422929
RouterGatingLinearFunctionBackward,25641.2216796875,192,{'other'},25.6412216796875,0.21548103400977195,98.82627764823906
hipLaunchKernel,24410.228515625,380,{'other'},24.410228515625,0.20513614158753302,99.03141378982659
aten::add,18147.4560546875,201,{'elementwise'},18.1474560546875,0.15250570523356657,99.18391949506015
aten::sum,16397.7490234375,1755,{'reduce'},16.3977490234375,0.13780169912115137,99.32172119418131
aten::nonzero,14661.15625,384,{'other'},14.66115625,0.12320790124565285,99.44492909542696
aten::mul,12364.224609375,1778,{'elementwise'},12.364224609375,0.10390518583082053,99.54883428125778
RouterGatingLinearFunction,8092.6376953125,192,{'other'},8.0926376953125,0.06800806764343094,99.61684234890122
aten::masked_scatter_,6553.330078125,192,{'other'},6.553330078125,0.05507219426133539,99.67191454316256
aten::linalg_vector_norm,4992.8564453125,74,{'reduce'},4.9928564453125,0.04195844811679051,99.71387299127935
aten::mul_,4778.244140625,74,{'elementwise'},4.778244140625,0.04015491153405751,99.7540279028134
aten::embedding_dense_backward,4530.6923828125,8,{'other'},4.5306923828125,0.03807456179835708,99.79210246461176
aten::div,3555.486328125,603,{'elementwise'},3.555486328125,0.029879226503427652,99.82198169111518
aten::scatter,3296.517578125,576,{'elementwise'},3.296517578125,0.02770293183528303,99.84968462295046
aten::arange,3176.31640625,584,{'other'},3.17631640625,0.026692797718883665,99.87637742066934
aten::masked_select,2655.3935546875,384,{'elementwise'},2.6553935546875,0.02231512039538359,99.89869254106473
aten::_softmax_backward_data,2643.5009765625,384,{'other'},2.6435009765625,0.022215178783262707,99.92090771984799
aten::_softmax,2318.4150390625,384,{'other'},2.3184150390625,0.019483255365977628,99.94039097521397
aten::normal_,1428.9462890625,192,{'elementwise'},1.4289462890625,0.012008430322005102,99.95239940553597
aten::_index_put_impl_,1396.78515625,192,{'elementwise'},1.39678515625,0.011738157936393578,99.96413756347236
aten::scatter_,1311.607421875,192,{'elementwise'},1.311607421875,0.011022350144275992,99.97515991361664
aten::remainder,1090.0263671875,192,{'elementwise'},1.0900263671875,0.009160250304514367,99.98432016392115
aten::_local_scalar_dense,658.9365234375,174,{'other'},0.6589365234375,0.005537502276250642,99.98985766619741
aten::ne,452.8076171875,82,{'elementwise'},0.4528076171875,0.0038052575956768,99.99366292379308
aten::eq,277.51953125,82,{'elementwise'},0.27751953125,0.0023321897957393283,99.99599511358882
aten::abs,219.7861328125,82,{'elementwise'},0.2197861328125,0.0018470158618442147,99.99784212945066
aten::div_,59.6240234375,16,{'elementwise'},0.0596240234375,0.0005010621717885308,99.99834319162245
triton_poi_fused__to_copy_arange_index_index_put_rsub_sub_view_1,57.2724609375,8,{'triton'},0.0572724609375,0.00048130035523514804,99.99882449197769
triton_poi_fused_arange_bitwise_or_ge_index_index_put_lift_fresh_lt_sub_unsqueeze_view_0,37.830078125,8,{'triton'},0.037830078125,0.00031791247908843017,99.99914240445678
triton_poi_fused_arange_cat_index_index_put_lift_fresh_sub_unsqueeze_view_1,37.3095703125,8,{'triton'},0.0373095703125,0.00031353828962707095,99.99945594274641
triton_poi_fused_log_split_sub_0,36.7099609375,8,{'triton'},0.0367099609375,0.00030849935467533636,99.99976444210108
aten::clamp,22.9912109375,8,{'elementwise'},0.0229912109375,0.00019321114913467167,99.99995765325022
aten::pow,5.0390625,1,{'elementwise'},0.0050390625,4.234674975724869e-05,99.99999999999997
