attempt	tok_per_sec_per_gpu	speedup_pct	status	description
0	467.4	0.00	baseline	Qwen3 32B LoRA baseline (8xMI355X, FSDP, bs=2, GA=8, alpaca_cleaned unpacked, no compile)
1	673.8	44.15	keep	compile=True
2	2935.4	527.90	keep	compile + packed=True (seq=2048)
3	3526.8	654.44	keep	+fsdp_reshard_after_forward=False (SHARD_GRAD_OP)
4	4391.1	839.40	keep	+batch_size=4 GA=4
5	-1	0.00	crash	batch_size=8 GA=2 (OOM)
6	4404.5	842.27	keep	batch_size=4 GA=1 (marginal vs GA=4)
7	1102.8	135.93	discard	batch_size=6 GA=1 (torch.compile shape regression)
8	-1	0.00	crash	seq=4096 bs=4 (OOM)
9	4658.1	896.54	keep	seq=4096 bs=2 GA=1
10	1173.5	151.06	discard	seq=4096 bs=3 (torch.compile shape regression)
11	4133.3	784.24	discard	seq=4096 bs=4 AC=True (AC overhead)
12	4752.0	916.64	keep	seq=8192 bs=1 GA=1
13	-1	0.00	crash	seq=16384 bs=1 (OOM)
14	4023.7	860.78	discard	seq=8192 bs=2 AC=True (AC overhead)
15	1201.6	157.07	discard	seq=12288 bs=1 (torch.compile shape regression)
16	4977.4	964.85	keep	seq=8192 bs=1 + NCCL_ALGO=Ring + CUDA_CONN=2
17	4984.3	966.32	keep	BEST: seq=8192 bs=1 + NCCL_ALGO=Ring
18	4978.9	965.17	discard	+custom_sharded_layers (marginal regression)
19	-1	0.00	crash	FULL_SHARD + seq=8192 bs=2 (OOM)
