attempt	tok_per_sec_per_gpu	speedup_pct	status	description
0	862.63	0.00	baseline	Qwen3 8B BF16 full finetune baseline (8xMI355X, FSDP, batch=2, GA=8, alpaca_cleaned unpacked)
1	1396.79	61.92	keep	compile=True
2	7546.08	774.78	keep	compile=True + packed=True (seq_len=2048)
3	9255.36	972.92	keep	+fsdp_reshard_after_forward=False
4	9211.47	967.84	discard	+NCCL_ALGO=Ring
5	11370.03	1218.07	keep	+batch_size=4 GA=4
6	13206.48	1430.96	keep	+batch_size=8 GA=2
7	14239.58	1550.72	keep	+batch_size=16 GA=1
8	14751.45	1610.06	keep	+batch_size=32 GA=1
9	-1	0.00	crash	+optimizer_in_bwd=True (incompatible with compiled opt step)
10	17142.75	1887.27	keep	+enable_activation_checkpointing=False (bs=16)
11	-1	0.00	crash	batch_size=32 noAC (OOM)
12	17153.0	1888.45	discard	+CUDA_DEVICE_MAX_CONNECTIONS=2
13	-1	0.00	crash	seq=4096 bs=16 noAC (OOM)
14	18859.87	2086.32	keep	BEST: seq=4096 bs=8 noAC
15	16010.63	1756.03	discard	seq=4096 bs=16 AC=True (AC overhead worse)
16	-1	0.00	crash	seq=4096 bs=12 noAC (OOM)
17	18324.56	2024.27	discard	seq=4096 bs=10 noAC (slightly worse)
18	18755.78	2074.26	discard	optimizer_in_bwd + selective compile (slight regression)
19	18545.14	2049.84	discard	seq=8192 bs=4 noAC (worse due to small batch)
