-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls                                                                      Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        7.257s        65.94%        7.257s        3.629s             2                                                                                []  
ncclDevKernel_Generic_1(ncclDevKernelArgsStorage<409...         0.00%       0.000us         0.00%       0.000us       0.000us        4.475s        40.66%        4.475s       2.537ms          1764                                                                                []  
                              nccl:_reduce_scatter_base         0.00%       0.000us         0.00%       0.000us       0.000us        2.647s        24.05%        2.647s       4.471ms           592                                                                                []  
                                     record_param_comms         0.18%      17.110ms         0.27%      25.956ms      45.062us        2.562s        23.28%        2.562s       4.448ms           576                                 [[192946432], [], [], [], [], [], [], [], [], []]  
                                  nccl:_all_gather_base         0.00%       0.000us         0.00%       0.000us       0.000us        1.828s        16.61%        1.828s       1.565ms          1168                                                                                []  
                                     record_param_comms         0.35%      33.514ms         0.53%      50.085ms      43.477us        1.741s        15.82%        1.741s       1.511ms          1152                                  [[24118304], [], [], [], [], [], [], [], [], []]  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     487.991ms         4.43%     487.991ms      33.813us         14432                                                                                []  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us     393.707ms         3.58%     393.707ms      28.377us         13874                                                                                []  
Cijk_Ailk_Bjlk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x2...         0.00%       0.000us         0.00%       0.000us       0.000us     327.385ms         2.97%     327.385ms     132.652us          2468                                                                                []  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     288.246ms         2.62%     288.246ms      33.239us          8672                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     219.112ms         1.99%     219.112ms      30.983us          7072                                                                                []  
at::native::detail::split_with_sizes_copy_out_contig...         0.00%       0.000us         0.00%       0.000us       0.000us     218.445ms         1.98%     218.445ms     187.025us          1168                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     216.705ms         1.97%     216.705ms      30.643us          7072                                                                                []  
                            aten::split_with_sizes_copy         0.19%      18.358ms         0.54%      51.055ms      44.319us     201.699ms         1.83%     210.056ms     182.341us          1152                                                       [[8, 24118304], [], [], []]  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     200.994ms         1.83%     200.994ms      34.895us          5760                                                                                []  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     183.610ms         1.67%     183.610ms      39.708us          4624                                                                                []  
                                   aten::_foreach_copy_         0.09%       8.125ms         0.23%      22.017ms      18.850us     174.007ms         1.58%     174.122ms     149.077us          1168                                                                      [[], [], []]  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us     174.007ms         1.58%     174.007ms      71.549us          2432                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     161.673ms         1.47%     161.673ms      30.901us          5232                                                                                []  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     149.323ms         1.36%     149.323ms      43.008us          3472                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     147.063ms         1.34%     147.063ms      31.804us          4624                                                                                []  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     144.994ms         1.32%     144.994ms      31.466us          4608                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     143.892ms         1.31%     143.892ms      30.984us          4644                                                                                []  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us     139.153ms         1.26%     139.153ms      34.376us          4048                                                                                []  
void at::native::detail::chunk_cat_cuda_kernel<char,...         0.00%       0.000us         0.00%       0.000us       0.000us     138.882ms         1.26%     138.882ms     234.597us           592                                                                                []  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
Self CPU time total: 9.512s
Self CUDA time total: 11.005s

